id_sentence_id_term,id_sentence,id_term,term
40_1,40,1,a
40_2,40,2,man
40_3,40,3,likes
40_4,40,4,monet
41_1,41,1,a
41_2,41,2,man
41_3,41,3,admires
41_4,41,4,john
42_1,42,1,a
42_2,42,2,man
42_3,42,3,admires
42_4,42,4,annie
43_1,43,1,a
43_2,43,2,man
43_3,43,3,admires
43_4,43,4,monet
44_1,44,1,a
44_2,44,2,woman
44_3,44,3,likes
44_4,44,4,john
45_1,45,1,a
45_2,45,2,woman
45_3,45,3,likes
45_4,45,4,annie
46_1,46,1,a
46_2,46,2,woman
46_3,46,3,likes
46_4,46,4,monet
47_1,47,1,a
47_2,47,2,woman
47_3,47,3,admires
47_4,47,4,john
48_1,48,1,a
48_2,48,2,woman
48_3,48,3,admires
48_4,48,4,annie
49_1,49,1,a
49_2,49,2,woman
49_3,49,3,admires
49_4,49,4,monet
50_1,50,1,john
50_2,50,2,likes
50_3,50,3,every
50_4,50,4,man
51_1,51,1,john
51_2,51,2,likes
51_3,51,3,every
51_4,51,4,woman
52_1,52,1,john
52_2,52,2,likes
52_3,52,3,a
52_4,52,4,man
53_1,53,1,john
53_2,53,2,likes
53_3,53,3,a
53_4,53,4,woman
54_1,54,1,john
54_2,54,2,admires
54_3,54,3,every
54_4,54,4,man
55_1,55,1,john
55_2,55,2,admires
55_3,55,3,every
55_4,55,4,woman
56_1,56,1,john
56_2,56,2,admires
56_3,56,3,a
56_4,56,4,man
57_1,57,1,john
57_2,57,2,admires
57_3,57,3,a
57_4,57,4,woman
58_1,58,1,annie
58_2,58,2,likes
58_3,58,3,every
58_4,58,4,man
59_1,59,1,annie
59_2,59,2,likes
59_3,59,3,every
59_4,59,4,woman
60_1,60,1,annie
60_2,60,2,likes
60_3,60,3,a
60_4,60,4,man
61_1,61,1,annie
61_2,61,2,likes
61_3,61,3,a
61_4,61,4,woman
62_1,62,1,annie
62_2,62,2,admires
62_3,62,3,every
62_4,62,4,man
63_1,63,1,annie
63_2,63,2,admires
63_3,63,3,every
63_4,63,4,woman
64_1,64,1,annie
64_2,64,2,admires
64_3,64,3,a
64_4,64,4,man
65_1,65,1,annie
65_2,65,2,admires
65_3,65,3,a
65_4,65,4,woman
66_1,66,1,monet
66_2,66,2,likes
66_3,66,3,every
66_4,66,4,man
67_1,67,1,monet
67_2,67,2,likes
67_3,67,3,every
67_4,67,4,woman
68_1,68,1,monet
68_2,68,2,likes
68_3,68,3,a
68_4,68,4,man
69_1,69,1,monet
69_2,69,2,likes
69_3,69,3,a
69_4,69,4,woman
70_1,70,1,monet
70_2,70,2,admires
70_3,70,3,every
70_4,70,4,man
71_1,71,1,monet
71_2,71,2,admires
71_3,71,3,every
71_4,71,4,woman
72_1,72,1,monet
72_2,72,2,admires
72_3,72,3,a
72_4,72,4,man
73_1,73,1,monet
73_2,73,2,admires
73_3,73,3,a
73_4,73,4,woman
74_1,74,1,every
74_2,74,2,man
74_3,74,3,that
74_4,74,4,paints
74_5,74,5,paints
75_1,75,1,every
75_2,75,2,man
75_3,75,3,likes
75_4,75,4,every
75_5,75,5,man
76_1,76,1,every
76_2,76,2,man
76_3,76,3,likes
76_4,76,4,every
76_5,76,5,woman
77_1,77,1,every
77_2,77,2,man
77_3,77,3,likes
77_4,77,4,a
77_5,77,5,man
78_1,78,1,every
78_2,78,2,man
78_3,78,3,likes
78_4,78,4,a
78_5,78,5,woman
79_1,79,1,every
79_2,79,2,man
79_3,79,3,admires
79_4,79,4,every
79_5,79,5,man
80_1,80,1,every
80_2,80,2,man
80_3,80,3,admires
80_4,80,4,every
80_5,80,5,woman
81_1,81,1,every
81_2,81,2,man
81_3,81,3,admires
81_4,81,4,a
81_5,81,5,man
82_1,82,1,every
82_2,82,2,man
82_3,82,3,admires
82_4,82,4,a
82_5,82,5,woman
83_1,83,1,every
83_2,83,2,woman
83_3,83,3,that
83_4,83,4,paints
83_5,83,5,paints
84_1,84,1,every
84_2,84,2,woman
84_3,84,3,likes
84_4,84,4,every
84_5,84,5,man
85_1,85,1,every
85_2,85,2,woman
85_3,85,3,likes
85_4,85,4,every
85_5,85,5,woman
86_1,86,1,every
86_2,86,2,woman
86_3,86,3,likes
86_4,86,4,a
86_5,86,5,man
87_1,87,1,every
87_2,87,2,woman
87_3,87,3,likes
87_4,87,4,a
87_5,87,5,woman
88_1,88,1,every
88_2,88,2,woman
88_3,88,3,admires
88_4,88,4,every
88_5,88,5,man
89_1,89,1,every
89_2,89,2,woman
89_3,89,3,admires
89_4,89,4,every
89_5,89,5,woman
90_1,90,1,every
90_2,90,2,woman
90_3,90,3,admires
90_4,90,4,a
90_5,90,5,man
91_1,91,1,every
91_2,91,2,woman
91_3,91,3,admires
91_4,91,4,a
91_5,91,5,woman
92_1,92,1,a
92_2,92,2,man
92_3,92,3,that
92_4,92,4,paints
92_5,92,5,paints
93_1,93,1,a
93_2,93,2,man
93_3,93,3,likes
93_4,93,4,every
93_5,93,5,man
94_1,94,1,a
94_2,94,2,man
94_3,94,3,likes
94_4,94,4,every
94_5,94,5,woman
95_1,95,1,a
95_2,95,2,man
95_3,95,3,likes
95_4,95,4,a
95_5,95,5,man
96_1,96,1,a
96_2,96,2,man
96_3,96,3,likes
96_4,96,4,a
96_5,96,5,woman
97_1,97,1,a
97_2,97,2,man
97_3,97,3,admires
97_4,97,4,every
97_5,97,5,man
98_1,98,1,a
98_2,98,2,man
98_3,98,3,admires
98_4,98,4,every
98_5,98,5,woman
99_1,99,1,a
99_2,99,2,man
99_3,99,3,admires
99_4,99,4,a
99_5,99,5,man
100_1,100,1,a
100_2,100,2,man
100_3,100,3,admires
100_4,100,4,a
100_5,100,5,woman
101_1,101,1,a
101_2,101,2,woman
101_3,101,3,that
101_4,101,4,paints
101_5,101,5,paints
102_1,102,1,a
102_2,102,2,woman
102_3,102,3,likes
102_4,102,4,every
102_5,102,5,man
103_1,103,1,a
103_2,103,2,woman
103_3,103,3,likes
103_4,103,4,every
103_5,103,5,woman
104_1,104,1,a
104_2,104,2,woman
104_3,104,3,likes
104_4,104,4,a
104_5,104,5,man
105_1,105,1,a
105_2,105,2,woman
105_3,105,3,likes
105_4,105,4,a
105_5,105,5,woman
106_1,106,1,a
106_2,106,2,woman
106_3,106,3,admires
106_4,106,4,every
106_5,106,5,man
107_1,107,1,a
107_2,107,2,woman
107_3,107,3,admires
107_4,107,4,every
107_5,107,5,woman
108_1,108,1,a
108_2,108,2,woman
108_3,108,3,admires
108_4,108,4,a
108_5,108,5,man
109_1,109,1,a
109_2,109,2,woman
109_3,109,3,admires
109_4,109,4,a
109_5,109,5,woman
110_1,110,1,every
110_2,110,2,man
110_3,110,3,that
110_4,110,4,likes
110_5,110,5,john
110_6,110,6,paints
111_1,111,1,every
111_2,111,2,man
111_3,111,3,that
111_4,111,4,likes
111_5,111,5,annie
111_6,111,6,paints
112_1,112,1,every
112_2,112,2,man
112_3,112,3,that
112_4,112,4,likes
112_5,112,5,monet
112_6,112,6,paints
113_1,113,1,every
113_2,113,2,man
113_3,113,3,that
113_4,113,4,admires
113_5,113,5,john
113_6,113,6,paints
114_1,114,1,every
114_2,114,2,man
114_3,114,3,that
114_4,114,4,admires
114_5,114,5,annie
114_6,114,6,paints
115_1,115,1,every
115_2,115,2,man
115_3,115,3,that
115_4,115,4,admires
115_5,115,5,monet
115_6,115,6,paints
116_1,116,1,every
116_2,116,2,man
116_3,116,3,that
116_4,116,4,paints
116_5,116,5,likes
116_6,116,6,john
117_1,117,1,every
117_2,117,2,man
117_3,117,3,that
117_4,117,4,paints
117_5,117,5,likes
117_6,117,6,annie
118_1,118,1,every
118_2,118,2,man
118_3,118,3,that
118_4,118,4,paints
118_5,118,5,likes
118_6,118,6,monet
119_1,119,1,every
119_2,119,2,man
119_3,119,3,that
119_4,119,4,paints
119_5,119,5,admires
119_6,119,6,john
120_1,120,1,every
120_2,120,2,man
120_3,120,3,that
120_4,120,4,paints
120_5,120,5,admires
120_6,120,6,annie
121_1,121,1,every
121_2,121,2,man
121_3,121,3,that
121_4,121,4,paints
121_5,121,5,admires
121_6,121,6,monet
122_1,122,1,every
122_2,122,2,woman
122_3,122,3,that
122_4,122,4,likes
122_5,122,5,john
122_6,122,6,paints
123_1,123,1,every
123_2,123,2,woman
123_3,123,3,that
123_4,123,4,likes
123_5,123,5,annie
123_6,123,6,paints
124_1,124,1,every
124_2,124,2,woman
124_3,124,3,that
124_4,124,4,likes
124_5,124,5,monet
124_6,124,6,paints
125_1,125,1,every
125_2,125,2,woman
125_3,125,3,that
125_4,125,4,admires
125_5,125,5,john
125_6,125,6,paints
126_1,126,1,every
126_2,126,2,woman
126_3,126,3,that
126_4,126,4,admires
126_5,126,5,annie
126_6,126,6,paints
127_1,127,1,every
127_2,127,2,woman
127_3,127,3,that
127_4,127,4,admires
127_5,127,5,monet
127_6,127,6,paints
128_1,128,1,every
128_2,128,2,woman
128_3,128,3,that
128_4,128,4,paints
128_5,128,5,likes
128_6,128,6,john
129_1,129,1,every
129_2,129,2,woman
129_3,129,3,that
129_4,129,4,paints
129_5,129,5,likes
129_6,129,6,annie
130_1,130,1,every
130_2,130,2,woman
130_3,130,3,that
130_4,130,4,paints
130_5,130,5,likes
130_6,130,6,monet
131_1,131,1,every
131_2,131,2,woman
131_3,131,3,that
131_4,131,4,paints
131_5,131,5,admires
131_6,131,6,john
132_1,132,1,every
132_2,132,2,woman
132_3,132,3,that
132_4,132,4,paints
132_5,132,5,admires
132_6,132,6,annie
133_1,133,1,every
133_2,133,2,woman
133_3,133,3,that
133_4,133,4,paints
133_5,133,5,admires
133_6,133,6,monet
134_1,134,1,a
134_2,134,2,man
134_3,134,3,that
134_4,134,4,likes
134_5,134,5,john
134_6,134,6,paints
135_1,135,1,a
135_2,135,2,man
135_3,135,3,that
135_4,135,4,likes
135_5,135,5,annie
135_6,135,6,paints
136_1,136,1,a
136_2,136,2,man
136_3,136,3,that
136_4,136,4,likes
136_5,136,5,monet
136_6,136,6,paints
137_1,137,1,a
137_2,137,2,man
137_3,137,3,that
137_4,137,4,admires
137_5,137,5,john
137_6,137,6,paints
138_1,138,1,a
138_2,138,2,man
138_3,138,3,that
138_4,138,4,admires
138_5,138,5,annie
138_6,138,6,paints
139_1,139,1,a
139_2,139,2,man
139_3,139,3,that
139_4,139,4,admires
139_5,139,5,monet
139_6,139,6,paints
140_1,140,1,a
140_2,140,2,man
140_3,140,3,that
140_4,140,4,paints
140_5,140,5,likes
140_6,140,6,john
141_1,141,1,a
141_2,141,2,man
141_3,141,3,that
141_4,141,4,paints
141_5,141,5,likes
141_6,141,6,annie
142_1,142,1,a
142_2,142,2,man
142_3,142,3,that
142_4,142,4,paints
142_5,142,5,likes
142_6,142,6,monet
143_1,143,1,a
143_2,143,2,man
143_3,143,3,that
143_4,143,4,paints
143_5,143,5,admires
143_6,143,6,john
144_1,144,1,a
144_2,144,2,man
144_3,144,3,that
144_4,144,4,paints
144_5,144,5,admires
144_6,144,6,annie
145_1,145,1,a
145_2,145,2,man
145_3,145,3,that
145_4,145,4,paints
145_5,145,5,admires
145_6,145,6,monet
146_1,146,1,a
146_2,146,2,woman
146_3,146,3,that
146_4,146,4,likes
146_5,146,5,john
146_6,146,6,paints
147_1,147,1,a
147_2,147,2,woman
147_3,147,3,that
147_4,147,4,likes
147_5,147,5,annie
147_6,147,6,paints
148_1,148,1,a
148_2,148,2,woman
148_3,148,3,that
148_4,148,4,likes
148_5,148,5,monet
148_6,148,6,paints
149_1,149,1,a
149_2,149,2,woman
149_3,149,3,that
149_4,149,4,admires
149_5,149,5,john
149_6,149,6,paints
150_1,150,1,a
150_2,150,2,woman
150_3,150,3,that
150_4,150,4,admires
150_5,150,5,annie
150_6,150,6,paints
151_1,151,1,a
151_2,151,2,woman
151_3,151,3,that
151_4,151,4,admires
151_5,151,5,monet
151_6,151,6,paints
152_1,152,1,a
152_2,152,2,woman
152_3,152,3,that
152_4,152,4,paints
152_5,152,5,likes
152_6,152,6,john
153_1,153,1,a
153_2,153,2,woman
153_3,153,3,that
153_4,153,4,paints
153_5,153,5,likes
153_6,153,6,annie
154_1,154,1,a
154_2,154,2,woman
154_3,154,3,that
154_4,154,4,paints
154_5,154,5,likes
154_6,154,6,monet
155_1,155,1,a
155_2,155,2,woman
155_3,155,3,that
155_4,155,4,paints
155_5,155,5,admires
155_6,155,6,john
156_1,156,1,a
156_2,156,2,woman
156_3,156,3,that
156_4,156,4,paints
156_5,156,5,admires
156_6,156,6,annie
157_1,157,1,a
157_2,157,2,woman
157_3,157,3,that
157_4,157,4,paints
157_5,157,5,admires
157_6,157,6,monet
158_1,158,1,john
158_2,158,2,likes
158_3,158,3,every
158_4,158,4,man
158_5,158,5,that
158_6,158,6,paints
159_1,159,1,john
159_2,159,2,likes
159_3,159,3,every
159_4,159,4,woman
159_5,159,5,that
159_6,159,6,paints
160_1,160,1,john
160_2,160,2,likes
160_3,160,3,a
160_4,160,4,man
160_5,160,5,that
160_6,160,6,paints
161_1,161,1,john
161_2,161,2,likes
161_3,161,3,a
161_4,161,4,woman
161_5,161,5,that
161_6,161,6,paints
162_1,162,1,john
162_2,162,2,admires
162_3,162,3,every
162_4,162,4,man
162_5,162,5,that
162_6,162,6,paints
163_1,163,1,john
163_2,163,2,admires
163_3,163,3,every
163_4,163,4,woman
163_5,163,5,that
163_6,163,6,paints
164_1,164,1,john
164_2,164,2,admires
164_3,164,3,a
164_4,164,4,man
164_5,164,5,that
164_6,164,6,paints
165_1,165,1,john
165_2,165,2,admires
165_3,165,3,a
165_4,165,4,woman
165_5,165,5,that
165_6,165,6,paints
166_1,166,1,annie
166_2,166,2,likes
166_3,166,3,every
166_4,166,4,man
166_5,166,5,that
166_6,166,6,paints
167_1,167,1,annie
167_2,167,2,likes
167_3,167,3,every
167_4,167,4,woman
167_5,167,5,that
167_6,167,6,paints
168_1,168,1,annie
168_2,168,2,likes
168_3,168,3,a
168_4,168,4,man
168_5,168,5,that
168_6,168,6,paints
169_1,169,1,annie
169_2,169,2,likes
169_3,169,3,a
169_4,169,4,woman
169_5,169,5,that
169_6,169,6,paints
170_1,170,1,annie
170_2,170,2,admires
170_3,170,3,every
170_4,170,4,man
170_5,170,5,that
170_6,170,6,paints
171_1,171,1,annie
171_2,171,2,admires
171_3,171,3,every
171_4,171,4,woman
171_5,171,5,that
171_6,171,6,paints
172_1,172,1,annie
172_2,172,2,admires
172_3,172,3,a
172_4,172,4,man
172_5,172,5,that
172_6,172,6,paints
173_1,173,1,annie
173_2,173,2,admires
173_3,173,3,a
173_4,173,4,woman
173_5,173,5,that
173_6,173,6,paints
174_1,174,1,monet
174_2,174,2,likes
174_3,174,3,every
174_4,174,4,man
174_5,174,5,that
174_6,174,6,paints
175_1,175,1,monet
175_2,175,2,likes
175_3,175,3,every
175_4,175,4,woman
175_5,175,5,that
175_6,175,6,paints
176_1,176,1,monet
176_2,176,2,likes
176_3,176,3,a
176_4,176,4,man
176_5,176,5,that
176_6,176,6,paints
177_1,177,1,monet
177_2,177,2,likes
177_3,177,3,a
177_4,177,4,woman
177_5,177,5,that
177_6,177,6,paints
178_1,178,1,monet
178_2,178,2,admires
178_3,178,3,every
178_4,178,4,man
178_5,178,5,that
178_6,178,6,paints
179_1,179,1,monet
179_2,179,2,admires
179_3,179,3,every
179_4,179,4,woman
179_5,179,5,that
179_6,179,6,paints
180_1,180,1,monet
180_2,180,2,admires
180_3,180,3,a
180_4,180,4,man
180_5,180,5,that
180_6,180,6,paints
181_1,181,1,monet
181_2,181,2,admires
181_3,181,3,a
181_4,181,4,woman
181_5,181,5,that
181_6,181,6,paints
182_1,182,1,every
182_2,182,2,man
182_3,182,3,that
182_4,182,4,likes
182_5,182,5,every
182_6,182,6,man
182_7,182,7,paints
183_1,183,1,every
183_2,183,2,man
183_3,183,3,that
183_4,183,4,likes
183_5,183,5,every
183_6,183,6,woman
183_7,183,7,paints
184_1,184,1,every
184_2,184,2,man
184_3,184,3,that
184_4,184,4,likes
184_5,184,5,a
184_6,184,6,man
184_7,184,7,paints
185_1,185,1,every
185_2,185,2,man
185_3,185,3,that
185_4,185,4,likes
185_5,185,5,a
185_6,185,6,woman
185_7,185,7,paints
186_1,186,1,every
186_2,186,2,man
186_3,186,3,that
186_4,186,4,likes
186_5,186,5,john
186_6,186,6,likes
186_7,186,7,john
187_1,187,1,every
187_2,187,2,man
187_3,187,3,that
187_4,187,4,likes
187_5,187,5,john
187_6,187,6,likes
187_7,187,7,annie
188_1,188,1,every
188_2,188,2,man
188_3,188,3,that
188_4,188,4,likes
188_5,188,5,john
188_6,188,6,likes
188_7,188,7,monet
189_1,189,1,every
189_2,189,2,man
189_3,189,3,that
189_4,189,4,likes
189_5,189,5,john
189_6,189,6,admires
189_7,189,7,john
190_1,190,1,every
190_2,190,2,man
190_3,190,3,that
190_4,190,4,likes
190_5,190,5,john
190_6,190,6,admires
190_7,190,7,annie
191_1,191,1,every
191_2,191,2,man
191_3,191,3,that
191_4,191,4,likes
191_5,191,5,john
191_6,191,6,admires
191_7,191,7,monet
192_1,192,1,every
192_2,192,2,man
192_3,192,3,that
192_4,192,4,likes
192_5,192,5,annie
192_6,192,6,likes
192_7,192,7,john
193_1,193,1,every
193_2,193,2,man
193_3,193,3,that
193_4,193,4,likes
193_5,193,5,annie
193_6,193,6,likes
193_7,193,7,annie
194_1,194,1,every
194_2,194,2,man
194_3,194,3,that
194_4,194,4,likes
194_5,194,5,annie
194_6,194,6,likes
194_7,194,7,monet
195_1,195,1,every
195_2,195,2,man
195_3,195,3,that
195_4,195,4,likes
195_5,195,5,annie
195_6,195,6,admires
195_7,195,7,john
196_1,196,1,every
196_2,196,2,man
196_3,196,3,that
196_4,196,4,likes
196_5,196,5,annie
196_6,196,6,admires
196_7,196,7,annie
197_1,197,1,every
197_2,197,2,man
197_3,197,3,that
197_4,197,4,likes
197_5,197,5,annie
197_6,197,6,admires
197_7,197,7,monet
198_1,198,1,every
198_2,198,2,man
198_3,198,3,that
198_4,198,4,likes
198_5,198,5,monet
198_6,198,6,likes
198_7,198,7,john
199_1,199,1,every
199_2,199,2,man
199_3,199,3,that
199_4,199,4,likes
199_5,199,5,monet
199_6,199,6,likes
199_7,199,7,annie
200_1,200,1,every
200_2,200,2,man
200_3,200,3,that
200_4,200,4,likes
200_5,200,5,monet
200_6,200,6,likes
200_7,200,7,monet
201_1,201,1,every
201_2,201,2,man
201_3,201,3,that
201_4,201,4,likes
201_5,201,5,monet
201_6,201,6,admires
201_7,201,7,john
202_1,202,1,every
202_2,202,2,man
202_3,202,3,that
202_4,202,4,likes
202_5,202,5,monet
202_6,202,6,admires
202_7,202,7,annie
203_1,203,1,every
203_2,203,2,man
203_3,203,3,that
203_4,203,4,likes
203_5,203,5,monet
203_6,203,6,admires
203_7,203,7,monet
204_1,204,1,every
204_2,204,2,man
204_3,204,3,that
204_4,204,4,admires
204_5,204,5,every
204_6,204,6,man
204_7,204,7,paints
205_1,205,1,every
205_2,205,2,man
205_3,205,3,that
205_4,205,4,admires
205_5,205,5,every
205_6,205,6,woman
205_7,205,7,paints
206_1,206,1,every
206_2,206,2,man
206_3,206,3,that
206_4,206,4,admires
206_5,206,5,a
206_6,206,6,man
206_7,206,7,paints
207_1,207,1,every
207_2,207,2,man
207_3,207,3,that
207_4,207,4,admires
207_5,207,5,a
207_6,207,6,woman
207_7,207,7,paints
208_1,208,1,every
208_2,208,2,man
208_3,208,3,that
208_4,208,4,admires
208_5,208,5,john
208_6,208,6,likes
208_7,208,7,john
209_1,209,1,every
209_2,209,2,man
209_3,209,3,that
209_4,209,4,admires
209_5,209,5,john
209_6,209,6,likes
209_7,209,7,annie
210_1,210,1,every
210_2,210,2,man
210_3,210,3,that
210_4,210,4,admires
210_5,210,5,john
210_6,210,6,likes
210_7,210,7,monet
211_1,211,1,every
211_2,211,2,man
211_3,211,3,that
211_4,211,4,admires
211_5,211,5,john
211_6,211,6,admires
211_7,211,7,john
212_1,212,1,every
212_2,212,2,man
212_3,212,3,that
212_4,212,4,admires
212_5,212,5,john
212_6,212,6,admires
212_7,212,7,annie
213_1,213,1,every
213_2,213,2,man
213_3,213,3,that
213_4,213,4,admires
213_5,213,5,john
213_6,213,6,admires
213_7,213,7,monet
214_1,214,1,every
214_2,214,2,man
214_3,214,3,that
214_4,214,4,admires
214_5,214,5,annie
214_6,214,6,likes
214_7,214,7,john
215_1,215,1,every
215_2,215,2,man
215_3,215,3,that
215_4,215,4,admires
215_5,215,5,annie
215_6,215,6,likes
215_7,215,7,annie
216_1,216,1,every
216_2,216,2,man
216_3,216,3,that
216_4,216,4,admires
216_5,216,5,annie
216_6,216,6,likes
216_7,216,7,monet
217_1,217,1,every
217_2,217,2,man
217_3,217,3,that
217_4,217,4,admires
217_5,217,5,annie
217_6,217,6,admires
217_7,217,7,john
218_1,218,1,every
218_2,218,2,man
218_3,218,3,that
218_4,218,4,admires
218_5,218,5,annie
218_6,218,6,admires
218_7,218,7,annie
219_1,219,1,every
219_2,219,2,man
219_3,219,3,that
219_4,219,4,admires
219_5,219,5,annie
219_6,219,6,admires
219_7,219,7,monet
220_1,220,1,every
220_2,220,2,man
220_3,220,3,that
220_4,220,4,admires
220_5,220,5,monet
220_6,220,6,likes
220_7,220,7,john
221_1,221,1,every
221_2,221,2,man
221_3,221,3,that
221_4,221,4,admires
221_5,221,5,monet
221_6,221,6,likes
221_7,221,7,annie
222_1,222,1,every
222_2,222,2,man
222_3,222,3,that
222_4,222,4,admires
222_5,222,5,monet
222_6,222,6,likes
222_7,222,7,monet
223_1,223,1,every
223_2,223,2,man
223_3,223,3,that
223_4,223,4,admires
223_5,223,5,monet
223_6,223,6,admires
223_7,223,7,john
224_1,224,1,every
224_2,224,2,man
224_3,224,3,that
224_4,224,4,admires
224_5,224,5,monet
224_6,224,6,admires
224_7,224,7,annie
225_1,225,1,every
225_2,225,2,man
225_3,225,3,that
225_4,225,4,admires
225_5,225,5,monet
225_6,225,6,admires
225_7,225,7,monet
226_1,226,1,every
226_2,226,2,man
226_3,226,3,that
226_4,226,4,paints
226_5,226,5,likes
226_6,226,6,every
226_7,226,7,man
227_1,227,1,every
227_2,227,2,man
227_3,227,3,that
227_4,227,4,paints
227_5,227,5,likes
227_6,227,6,every
227_7,227,7,woman
228_1,228,1,every
228_2,228,2,man
228_3,228,3,that
228_4,228,4,paints
228_5,228,5,likes
228_6,228,6,a
228_7,228,7,man
229_1,229,1,every
229_2,229,2,man
229_3,229,3,that
229_4,229,4,paints
229_5,229,5,likes
229_6,229,6,a
229_7,229,7,woman
230_1,230,1,every
230_2,230,2,man
230_3,230,3,that
230_4,230,4,paints
230_5,230,5,admires
230_6,230,6,every
230_7,230,7,man
231_1,231,1,every
231_2,231,2,man
231_3,231,3,that
231_4,231,4,paints
231_5,231,5,admires
231_6,231,6,every
231_7,231,7,woman
232_1,232,1,every
232_2,232,2,man
232_3,232,3,that
232_4,232,4,paints
232_5,232,5,admires
232_6,232,6,a
232_7,232,7,man
233_1,233,1,every
233_2,233,2,man
233_3,233,3,that
233_4,233,4,paints
233_5,233,5,admires
233_6,233,6,a
233_7,233,7,woman
234_1,234,1,every
234_2,234,2,man
234_3,234,3,likes
234_4,234,4,every
234_5,234,5,man
234_6,234,6,that
234_7,234,7,paints
235_1,235,1,every
235_2,235,2,man
235_3,235,3,likes
235_4,235,4,every
235_5,235,5,woman
235_6,235,6,that
235_7,235,7,paints
236_1,236,1,every
236_2,236,2,man
236_3,236,3,likes
236_4,236,4,a
236_5,236,5,man
236_6,236,6,that
236_7,236,7,paints
237_1,237,1,every
237_2,237,2,man
237_3,237,3,likes
237_4,237,4,a
237_5,237,5,woman
237_6,237,6,that
237_7,237,7,paints
238_1,238,1,every
238_2,238,2,man
238_3,238,3,admires
238_4,238,4,every
238_5,238,5,man
238_6,238,6,that
238_7,238,7,paints
239_1,239,1,every
239_2,239,2,man
239_3,239,3,admires
239_4,239,4,every
239_5,239,5,woman
239_6,239,6,that
239_7,239,7,paints
240_1,240,1,every
240_2,240,2,man
240_3,240,3,admires
240_4,240,4,a
240_5,240,5,man
240_6,240,6,that
240_7,240,7,paints
241_1,241,1,every
241_2,241,2,man
241_3,241,3,admires
241_4,241,4,a
241_5,241,5,woman
241_6,241,6,that
241_7,241,7,paints
242_1,242,1,every
242_2,242,2,woman
242_3,242,3,that
242_4,242,4,likes
242_5,242,5,every
242_6,242,6,man
242_7,242,7,paints
243_1,243,1,every
243_2,243,2,woman
243_3,243,3,that
243_4,243,4,likes
243_5,243,5,every
243_6,243,6,woman
243_7,243,7,paints
244_1,244,1,every
244_2,244,2,woman
244_3,244,3,that
244_4,244,4,likes
244_5,244,5,a
244_6,244,6,man
244_7,244,7,paints
245_1,245,1,every
245_2,245,2,woman
245_3,245,3,that
245_4,245,4,likes
245_5,245,5,a
245_6,245,6,woman
245_7,245,7,paints
246_1,246,1,every
246_2,246,2,woman
246_3,246,3,that
246_4,246,4,likes
246_5,246,5,john
246_6,246,6,likes
