cited_paper_id_citing_paper_id,cited_paper_id,citing_paper_id,add_numerical
117_17476,117,17476,17593
117_28202,117,28202,28319
117_28278,117,28278,28395
117_28387,117,28387,28504
117_28471,117,28471,28588
117_32872,117,32872,32989
117_33013,117,33013,33130
117_38480,117,38480,38597
117_39403,117,39403,39520
117_75674,117,75674,75791
117_149669,117,149669,149786
117_189708,117,189708,189825
117_206259,117,206259,206376
117_341188,117,341188,341305
117_1109581,117,1109581,1109698
128_20526,128,20526,20654
128_39403,128,39403,39531
128_91975,128,91975,92103
128_1114125,128,1114125,1114253
130_13960,130,13960,14090
130_39403,130,39403,39533
130_345340,130,345340,345470
288_36167,288,36167,36455
288_1118092,288,1118092,1118380
424_47684,424,47684,48108
424_218666,424,218666,219090
424_1135125,424,1135125,1135549
434_267003,434,267003,267437
463_58454,463,58454,58917
504_506,504,506,1010
504_89416,504,89416,89920
504_1102364,504,1102364,1102868
504_1112650,504,1112650,1113154
506_89416,506,89416,89922
506_1102364,506,1102364,1102870
506_1106546,506,1106546,1107052
887_6151,887,6151,7038
887_6213,887,6213,7100
887_6215,887,6215,7102
887_10796,887,10796,11683
887_12576,887,12576,13463
887_17476,887,17476,18363
887_19045,887,19045,19932
887_20972,887,20972,21859
887_28456,887,28456,29343
887_35490,887,35490,36377
887_38205,887,38205,39092
887_64519,887,64519,65406
887_87363,887,87363,88250
887_114308,887,114308,115195
887_134128,887,134128,135015
887_161221,887,161221,162108
887_170798,887,170798,171685
887_265203,887,265203,266090
887_299195,887,299195,300082
887_299197,887,299197,300084
887_334153,887,334153,335040
887_595056,887,595056,595943
887_976334,887,976334,977221
887_1105033,887,1105033,1105920
887_1111304,887,1111304,1112191
887_1112911,887,1112911,1113798
887_1113614,887,1113614,1114501
906_910,906,910,1816
906_34355,906,34355,35261
906_1103979,906,1103979,1104885
906_1105344,906,1105344,1106250
906_1114352,906,1114352,1115258
906_1136397,906,1136397,1137303
906_1140040,906,1140040,1140946
910_5462,910,5462,6372
910_5869,910,5869,6779
910_12439,910,12439,13349
910_12946,910,12946,13856
910_13136,910,13136,14046
910_28278,910,28278,29188
910_31043,910,31043,31953
910_34355,910,34355,35265
910_35905,910,35905,36815
910_42847,910,42847,43757
910_48550,910,48550,49460
910_58552,910,58552,59462
910_67292,910,67292,68202
910_94953,910,94953,95863
910_131042,910,131042,131952
910_160705,910,160705,161615
910_227286,910,227286,228196
910_242637,910,242637,243547
910_340075,910,340075,340985
910_340078,910,340078,340988
910_436796,910,436796,437706
910_576257,910,576257,577167
910_636511,910,636511,637421
910_675649,910,675649,676559
910_684372,910,684372,685282
910_755217,910,755217,756127
910_1104379,910,1104379,1105289
910_1105344,910,1105344,1106254
910_1105530,910,1105530,1106440
910_1108834,910,1108834,1109744
910_1110520,910,1110520,1111430
910_1114118,910,1114118,1115028
910_1116569,910,1116569,1117479
910_1118848,910,1118848,1119758
910_1120858,910,1120858,1121768
910_1122460,910,1122460,1123370
910_1126044,910,1126044,1126954
910_1129111,910,1129111,1130021
910_1135137,910,1135137,1136047
910_1140040,910,1140040,1140950
910_1152194,910,1152194,1153104
936_1956,936,1956,2892
936_3084,936,3084,4020
936_3828,936,3828,4764
936_38845,936,38845,39781
936_129558,936,129558,130494
936_207395,936,207395,208331
936_1107010,936,1107010,1107946
936_1111899,936,1111899,1112835
940_3828,940,3828,4768
940_20180,940,20180,21120
940_28265,940,28265,29205
941_940,941,940,1881
941_3828,941,3828,4769
941_20180,941,20180,21121
941_28265,941,28265,29206
941_129558,941,129558,130499
943_3828,943,3828,4771
943_91852,943,91852,92795
943_1152896,943,1152896,1153839
1026_1034,1026,1034,2060
1026_1102550,1026,1102550,1103576
1026_1105231,1026,1105231,1106257
1026_1129798,1026,1129798,1130824
1026_1153945,1026,1153945,1154971
1033_1034,1033,1034,2067
1033_1107062,1033,1107062,1108095
1034_1153945,1034,1153945,1154979
1035_1034,1035,1034,2069
1035_1107062,1035,1107062,1108097
1035_1110515,1035,1110515,1111550
1213_8766,1213,8766,9979
1213_409725,1213,409725,410938
1213_1154525,1213,1154525,1155738
1237_102938,1237,102938,104175
1237_143676,1237,143676,144913
1237_1102400,1237,1102400,1103637
1237_1106112,1237,1106112,1107349
1246_6125,1246,6125,7371
1246_42207,1246,42207,43453
1246_57764,1246,57764,59010
1246_1102400,1246,1102400,1103646
1246_1104007,1246,1104007,1105253
1272_6917,1272,6917,8189
1272_6923,1272,6923,8195
1272_18615,1272,18615,19887
1272_20593,1272,20593,21865
1272_27230,1272,27230,28502
1272_30895,1272,30895,32167
1272_30901,1272,30901,32173
1272_52835,1272,52835,54107
1272_65653,1272,65653,66925
1272_85452,1272,85452,86724
1272_85688,1272,85688,86960
1272_93923,1272,93923,95195
1272_97892,1272,97892,99164
1272_112378,1272,112378,113650
1272_157805,1272,157805,159077
1272_192734,1272,192734,194006
1272_254923,1272,254923,256195
1272_284414,1272,284414,285686
1272_444240,1272,444240,445512
1272_520471,1272,520471,521743
1272_552469,1272,552469,553741
1272_560936,1272,560936,562208
1272_591016,1272,591016,592288
1272_636098,1272,636098,637370
1272_1102625,1272,1102625,1103897
1272_1108167,1272,1108167,1109439
1272_1120962,1272,1120962,1122234
1272_1123867,1272,1123867,1125139
1272_1128256,1272,1128256,1129528
1272_1129208,1272,1129208,1130480
1272_1135125,1272,1135125,1136397
1272_1135358,1272,1135358,1136630
1365_7276,1365,7276,8641
1365_7297,1365,7297,8662
1365_22835,1365,22835,24200
1365_23448,1365,23448,24813
1365_23502,1365,23502,24867
1365_23507,1365,23507,24872
1365_26850,1365,26850,28215
1365_39904,1365,39904,41269
1365_49482,1365,49482,50847
1365_69392,1365,69392,70757
1365_77758,1365,77758,79123
1365_83826,1365,83826,85191
1365_85299,1365,85299,86664
1365_90888,1365,90888,92253
1365_93555,1365,93555,94920
1365_120084,1365,120084,121449
1365_139865,1365,139865,141230
1365_157401,1365,157401,158766
1365_161221,1365,161221,162586
1365_171225,1365,171225,172590
1365_184918,1365,184918,186283
1365_188318,1365,188318,189683
1365_188471,1365,188471,189836
1365_237521,1365,237521,238886
1365_330148,1365,330148,331513
1365_340075,1365,340075,341440
1365_340299,1365,340299,341664
1365_436796,1365,436796,438161
1365_560936,1365,560936,562301
1365_562123,1365,562123,563488
1365_628500,1365,628500,629865
1365_648232,1365,648232,649597
1365_649731,1365,649731,651096
1365_782486,1365,782486,783851
1365_853150,1365,853150,854515
1365_948299,1365,948299,949664
1365_948846,1365,948846,950211
1365_949318,1365,949318,950683
1365_949511,1365,949511,950876
1365_950052,1365,950052,951417
1365_950305,1365,950305,951670
1365_1031453,1365,1031453,1032818
1365_1102407,1365,1102407,1103772
1365_1105062,1365,1105062,1106427
1365_1106287,1365,1106287,1107652
1365_1108050,1365,1108050,1109415
1365_1110494,1365,1110494,1111859
1365_1110998,1365,1110998,1112363
1365_1113995,1365,1113995,1115360
1365_1114153,1365,1114153,1115518
1365_1114352,1365,1114352,1115717
1365_1114388,1365,1114388,1115753
1365_1114605,1365,1114605,1115970
1365_1116347,1365,1116347,1117712
1365_1116594,1365,1116594,1117959
1365_1117653,1365,1117653,1119018
1365_1119140,1365,1119140,1120505
1365_1120211,1365,1120211,1121576
1365_1120866,1365,1120866,1122231
1365_1128839,1365,1128839,1130204
1365_1129443,1365,1129443,1130808
1365_1130600,1365,1130600,1131965
1365_1131647,1365,1131647,1133012
1365_1131745,1365,1131745,1133110
1365_1131748,1365,1131748,1133113
1365_1132922,1365,1132922,1134287
1365_1132968,1365,1132968,1134333
1365_1135137,1365,1135137,1136502
1365_1135368,1365,1135368,1136733
1365_1136422,1365,1136422,1137787
1365_1136442,1365,1136442,1137807
1365_1152143,1365,1152143,1153508
1365_1152821,1365,1152821,1154186
1365_1154169,1365,1154169,1155534
1481_4878,1481,4878,6359
1481_13960,1481,13960,15441
1481_200480,1481,200480,201961
1481_399173,1481,399173,400654
1481_521207,1481,521207,522688
1481_521269,1481,521269,522750
1481_1102567,1481,1102567,1104048
1481_1106052,1481,1106052,1107533
1481_1108267,1481,1108267,1109748
1481_1111614,1481,1111614,1113095
1481_1113934,1481,1113934,1115415
1481_1114864,1481,1114864,1116345
1481_1117184,1481,1117184,1118665
1481_1119295,1481,1119295,1120776
1481_1120563,1481,1120563,1122044
1481_1153891,1481,1153891,1155372
1688_1694,1688,1694,3382
1688_39474,1688,39474,41162
1688_44368,1688,44368,46056
1688_69284,1688,69284,70972
1688_84021,1688,84021,85709
1688_152483,1688,152483,154171
1688_576725,1688,576725,578413
1688_647413,1688,647413,649101
1688_694759,1688,694759,696447
1688_1103985,1688,1103985,1105673
1688_1131360,1688,1131360,1133048
1688_1133338,1688,1133338,1135026
1688_1134022,1688,1134022,1135710
1688_1136814,1688,1136814,1138502
1688_1153065,1688,1153065,1154753
1694_39474,1694,39474,41168
1717_50381,1717,50381,52098
1717_733167,1717,733167,734884
1717_1115291,1717,1115291,1117008
1717_1116336,1717,1116336,1118053
1717_1135108,1717,1135108,1136825
1786_35797,1786,35797,37583
1817_1114502,1817,1114502,1116319
1919_1108389,1919,1108389,1110308
1919_1109581,1919,1109581,1111500
1949_3101,1949,3101,5050
1949_129042,1949,129042,130991
1951_3095,1951,3095,5046
1952_1949,1952,1949,3901
1952_3101,1952,3101,5053
1952_1107215,1952,1107215,1109167
1952_1111899,1952,1111899,1113851
1953_1949,1953,1949,3902
1953_1153166,1953,1153166,1155119
1953_1153724,1953,1153724,1155677
1953_1153728,1953,1153728,1155681
1955_1956,1955,1956,3911
1955_110163,1955,110163,112118
1955_1110390,1955,1110390,1112345
1955_1125386,1955,1125386,1127341
1956_1817,1956,1817,3773
1956_83449,1956,83449,85405
1956_101143,1956,101143,103099
1956_263486,1956,263486,265442
1956_1111899,1956,1111899,1113855
1956_1118302,1956,1118302,1120258
1956_1153101,1956,1153101,1155057
1956_1153150,1956,1153150,1155106
1959_3097,1959,3097,5056
1959_38839,1959,38839,40798
1959_73327,1959,73327,75286
1959_82664,1959,82664,84623
1959_101143,1959,101143,103102
1959_170798,1959,170798,172757
1959_207395,1959,207395,209354
1959_310530,1959,310530,312489
1959_1152896,1959,1152896,1154855
1959_1153728,1959,1153728,1155687
1997_3233,1997,3233,5230
1997_7032,1997,7032,9029
1997_49811,1997,49811,51808
1997_129897,1997,129897,131894
1997_154982,1997,154982,156979
1997_1102442,1997,1102442,1104439
1997_1108551,1997,1108551,1110548
1997_1109439,1997,1109439,1111436
1997_1109542,1997,1109542,1111539
1999_6771,1999,6771,8770
1999_39126,1999,39126,41125
1999_1102442,1999,1102442,1104441
1999_1123068,1999,1123068,1125067
1999_1131471,1999,1131471,1133470
2354_10186,2354,10186,12540
2354_40151,2354,40151,42505
2354_74749,2354,74749,77103
2354_154134,2354,154134,156488
2354_1107140,2354,1107140,1109494
2354_1113852,2354,1113852,1116206
2354_1130539,2354,1130539,1132893
2440_6917,2440,6917,9357
2440_6923,2440,6923,9363
2440_18615,2440,18615,21055
2440_23546,2440,23546,25986
2440_27230,2440,27230,29670
2440_49811,2440,49811,52251
2440_49843,2440,49843,52283
2440_49844,2440,49844,52284
2440_49847,2440,49847,52287
2440_63931,2440,63931,66371
2440_72908,2440,72908,75348
2440_136766,2440,136766,139206
2440_136768,2440,136768,139208
2440_151430,2440,151430,153870
2440_212777,2440,212777,215217
2440_582343,2440,582343,584783
2440_591016,2440,591016,593456
2440_591017,2440,591017,593457
2440_1000012,2440,1000012,1002452
2440_1061127,2440,1061127,1063567
2440_1106388,2440,1106388,1108828
2440_1107095,2440,1107095,1109535
2440_1108551,2440,1108551,1110991
2440_1110426,2440,1110426,1112866
2440_1114512,2440,1114512,1116952
2440_1117786,2440,1117786,1120226
2440_1119295,2440,1119295,1121735
2440_1120650,2440,1120650,1123090
2440_1127619,2440,1127619,1130059
2440_1153254,2440,1153254,1155694
2653_4660,2653,4660,7313
2653_6125,2653,6125,8778
2653_28641,2653,28641,31294
2653_59045,2653,59045,61698
2653_65650,2653,65650,68303
2653_102406,2653,102406,105059
2653_107177,2653,107177,109830
2653_167656,2653,167656,170309
2653_175291,2653,175291,177944
2653_197783,2653,197783,200436
2653_321861,2653,321861,324514
2653_350362,2653,350362,353015
2653_1104055,2653,1104055,1106708
2653_1116268,2653,1116268,1118921
2653_1116842,2653,1116842,1119495
2653_1118764,2653,1118764,1121417
2653_1119751,2653,1119751,1122404
2653_1152075,2653,1152075,1154728
2654_27250,2654,27250,29904
2654_52784,2654,52784,55438
2654_197783,2654,197783,200437
2654_211906,2654,211906,214560
2654_463825,2654,463825,466479
2654_1104851,2654,1104851,1107505
2654_1106630,2654,1106630,1109284
2654_1107861,2654,1107861,1110515
2654_1110438,2654,1110438,1113092
2654_1116842,2654,1116842,1119496
2654_1121867,2654,1121867,1124521
2654_1123926,2654,1123926,1126580
2654_1152075,2654,1152075,1154729
2658_99023,2658,99023,101681
2658_230884,2658,230884,233542
2658_236759,2658,236759,239417
2658_282700,2658,282700,285358
2658_395540,2658,395540,398198
2658_578347,2658,578347,581005
2658_696342,2658,696342,699000
2658_696345,2658,696345,699003
2658_696346,2658,696346,699004
2658_751408,2658,751408,754066
2658_1115375,2658,1115375,1118033
2658_1130676,2658,1130676,1133334
2658_1130808,2658,1130808,1133466
2658_1131607,2658,1131607,1134265
2658_1132948,2658,1132948,1135606
2658_1135899,2658,1135899,1138557
2658_1140230,2658,1140230,1142888
2663_1119671,2663,1119671,1122334
2665_2658,2665,2658,5323
2665_43639,2665,43639,46304
2665_99023,2665,99023,101688
2665_205192,2665,205192,207857
2665_230884,2665,230884,233549
2665_237489,2665,237489,240154
2665_395540,2665,395540,398205
2665_578306,2665,578306,580971
2665_578309,2665,578309,580974
2665_578337,2665,578337,581002
2665_578347,2665,578347,581012
2665_582139,2665,582139,584804
2665_630817,2665,630817,633482
2665_631052,2665,631052,633717
2665_696345,2665,696345,699010
2665_696346,2665,696346,699011
2665_751408,2665,751408,754073
2665_763009,2665,763009,765674
2665_1105574,2665,1105574,1108239
2665_1113035,2665,1113035,1115700
2665_1115375,2665,1115375,1118040
2665_1122704,2665,1122704,1125369
2665_1130676,2665,1130676,1133341
2665_1130808,2665,1130808,1133473
2665_1131607,2665,1131607,1134272
2665_1132486,2665,1132486,1135151
2665_1132948,2665,1132948,1135613
2665_1132968,2665,1132968,1135633
2695_2698,2695,2698,5393
2695_342802,2695,342802,345497
2695_1108169,2695,1108169,1110864
2695_1120197,2695,1120197,1122892
2696_2695,2696,2695,5391
2696_2698,2696,2698,5394
2696_5348,2696,5348,8044
2696_5869,2696,5869,8565
2696_99025,2696,99025,101721
2696_160705,2696,160705,163401
2696_256106,2696,256106,258802
2696_342802,2696,342802,345498
2696_469504,2696,469504,472200
2696_1108050,2696,1108050,1110746
2696_1108169,2696,1108169,1110865
2696_1113035,2696,1113035,1115731
2696_1114192,2696,1114192,1116888
2696_1118083,2696,1118083,1120779
2696_1120858,2696,1120858,1123554
2696_1123239,2696,1123239,1125935
2696_1133004,2696,1133004,1135700
2698_2695,2698,2695,5393
2698_99025,2698,99025,101723
2698_256106,2698,256106,258804
2698_342802,2698,342802,345500
2698_1114192,2698,1114192,1116890
2702_12330,2702,12330,15032
2702_72056,2702,72056,74758
2702_395553,2702,395553,398255
2702_1120777,2702,1120777,1123479
3084_33303,3084,33303,36387
3084_255233,3084,255233,258317
3084_1107171,3084,1107171,1110255
3085_5062,3085,5062,8147
3085_15889,3085,15889,18974
3085_30973,3085,30973,34058
3085_83449,3085,83449,86534
3085_221302,3085,221302,224387
3085_395725,3085,395725,398810
3095_83449,3095,83449,86544
3095_110162,3095,110162,113257
3095_110163,3095,110163,113258
3095_218682,3095,218682,221777
3097_1949,3097,1949,5046
3097_1952,3097,1952,5049
3097_3101,3097,3101,6198
3097_129045,3097,129045,132142
3097_1106236,3097,1106236,1109333
3101_70441,3101,70441,73542
3101_110162,3101,110162,113263
3101_110163,3101,110163,113264
3101_110164,3101,110164,113265
3112_1949,3112,1949,5061
3112_77826,3112,77826,80938
3112_77829,3112,77829,80941
3112_103529,3112,103529,106641
3112_110163,3112,110163,113275
3112_110164,3112,110164,113276
3112_470511,3112,470511,473623
3112_1152564,3112,1152564,1155676
3187_5086,3187,5086,8273
3187_129896,3187,129896,133083
3187_129897,3187,129897,133084
3187_280876,3187,280876,284063
3187_1110000,3187,1110000,1113187
3191_3192,3191,3192,6383
3191_5086,3191,5086,8277
3191_105865,3191,105865,109056
3191_129896,3191,129896,133087
3191_129897,3191,129897,133088
3191_137873,3191,137873,141064
3191_162664,3191,162664,165855
3191_308920,3191,308920,312111
3191_310742,3191,310742,313933
3191_423463,3191,423463,426654
3191_561364,3191,561364,564555
3191_642827,3191,642827,646018
3191_1106789,3191,1106789,1109980
3191_1127530,3191,1127530,1130721
3191_1131267,3191,1131267,1134458
3192_3191,3192,3191,6383
3192_5086,3192,5086,8278
3192_105865,3192,105865,109057
3192_129896,3192,129896,133088
3192_310742,3192,310742,313934
3192_423463,3192,423463,426655
3192_561364,3192,561364,564556
3192_642827,3192,642827,646019
3217_65653,3217,65653,68870
3217_86840,3217,86840,90057
3217_167670,3217,167670,170887
3217_238099,3217,238099,241316
3217_1000012,3217,1000012,1003229
3218_6639,3218,6639,9857
3218_6767,3218,6767,9985
3218_6941,3218,6941,10159
3218_35070,3218,35070,38288
3218_49843,3218,49843,53061
3218_66782,3218,66782,70000
3218_187354,3218,187354,190572
3218_277263,3218,277263,280481
3218_417017,3218,417017,420235
3218_1106492,3218,1106492,1109710
3218_1110426,3218,1110426,1113644
3218_1119987,3218,1119987,1123205
3218_1120169,3218,1120169,1123387
3218_1152290,3218,1152290,1155508
3218_1153264,3218,1153264,1156482
3220_8832,3220,8832,12052
3220_36620,3220,36620,39840
3220_39124,3220,39124,42344
3220_40922,3220,40922,44142
3220_69397,3220,69397,72617
3220_120039,3220,120039,123259
3220_145215,3220,145215,148435
3220_167670,3220,167670,170890
3220_346243,3220,346243,349463
3220_429805,3220,429805,433025
3220_654177,3220,654177,657397
3220_1115677,3220,1115677,1118897
3220_1125992,3220,1125992,1129212
3220_1128430,3220,1128430,1131650
3220_1130634,3220,1130634,1133854
3220_1131728,3220,1131728,1134948
3220_1132706,3220,1132706,1135926
3222_167656,3222,167656,170878
3222_964248,3222,964248,967470
3222_1103737,3222,1103737,1106959
3222_1114222,3222,1114222,1117444
3222_1131137,3222,1131137,1134359
3222_1132157,3222,1132157,1135379
3223_167656,3223,167656,170879
3223_167670,3223,167670,170893
3223_1132157,3223,1132157,1135380
3223_1153101,3223,1153101,1156324
3223_1153150,3223,1153150,1156373
3229_7022,3229,7022,10251
3229_16461,3229,16461,19690
3229_23502,3229,23502,26731
3229_25181,3229,25181,28410
3229_25184,3229,25184,28413
3229_27174,3229,27174,30403
3229_27631,3229,27631,30860
3229_31769,3229,31769,34998
3229_33412,3229,33412,36641
3229_35343,3229,35343,38572
3229_35863,3229,35863,39092
3229_35922,3229,35922,39151
3229_48550,3229,48550,51779
3229_49482,3229,49482,52711
3229_52515,3229,52515,55744
3229_62347,3229,62347,65576
3229_72101,3229,72101,75330
3229_82087,3229,82087,85316
3229_82098,3229,82098,85327
3229_83826,3229,83826,87055
3229_90888,3229,90888,94117
3229_92065,3229,92065,95294
3229_96335,3229,96335,99564
3229_100197,3229,100197,103426
3229_118559,3229,118559,121788
3229_133550,3229,133550,136779
3229_157401,3229,157401,160630
3229_189577,3229,189577,192806
3229_390922,3229,390922,394151
3229_396412,3229,396412,399641
3229_444191,3229,444191,447420
3229_447250,3229,447250,450479
3229_641976,3229,641976,645205
3229_654326,3229,654326,657555
3229_919885,3229,919885,923114
3229_948299,3229,948299,951528
3229_949511,3229,949511,952740
3229_1050679,3229,1050679,1053908
3229_1103960,3229,1103960,1107189
3229_1105718,3229,1105718,1108947
3229_1106568,3229,1106568,1109797
3229_1108209,3229,1108209,1111438
3229_1108834,3229,1108834,1112063
3229_1109392,3229,1109392,1112621
3229_1112767,3229,1112767,1115996
3229_1125082,3229,1125082,1128311
3229_1125895,3229,1125895,1129124
3229_1126037,3229,1126037,1129266
3229_1128839,3229,1128839,1132068
3229_1128868,3229,1128868,1132097
3229_1130915,3229,1130915,1134144
3229_1130927,3229,1130927,1134156
3229_1130931,3229,1130931,1134160
3229_1131647,3229,1131647,1134876
3229_1131748,3229,1131748,1134977
3229_1132418,3229,1132418,1135647
3229_1140289,3229,1140289,1143518
3229_1152277,3229,1152277,1155506
3229_1152673,3229,1152673,1155902
3229_1154169,3229,1154169,1157398
3229_1154251,3229,1154251,1157480
3231_3237,3231,3237,6468
3231_6334,3231,6334,9565
3231_8699,3231,8699,11930
3231_8821,3231,8821,12052
3231_20850,3231,20850,24081
3231_25184,3231,25184,28415
3231_39124,3231,39124,42355
3231_39126,3231,39126,42357
3231_46431,3231,46431,49662
3231_49660,3231,49660,52891
3231_63477,3231,63477,66708
3231_63486,3231,63486,66717
3231_66594,3231,66594,69825
3231_68463,3231,68463,71694
3231_104840,3231,104840,108071
3231_167670,3231,167670,170901
3231_180399,3231,180399,183630
3231_200480,3231,200480,203711
3231_259126,3231,259126,262357
3231_263279,3231,263279,266510
3231_328370,3231,328370,331601
3231_636098,3231,636098,639329
3231_1102761,3231,1102761,1105992
3231_1106330,3231,1106330,1109561
3231_1106370,3231,1106370,1109601
3231_1107067,3231,1107067,1110298
3231_1113926,3231,1113926,1117157
3231_1115471,3231,1115471,1118702
3231_1125386,3231,1125386,1128617
3231_1128536,3231,1128536,1131767
3231_1131471,3231,1131471,1134702
3231_1153169,3231,1153169,1156400
3232_20850,3232,20850,24082
3232_20942,3232,20942,24174
3232_66594,3232,66594,69826
3232_521251,3232,521251,524483
3232_1106330,3232,1106330,1109562
3232_1123068,3232,1123068,1126300
3232_1128536,3232,1128536,1131768
3233_1997,3233,1997,5230
3233_66594,3233,66594,69827
