movieid_directorid,movieid,directorid,genre
2461086_305750,2461086,305750,Action
2461385_290612,2461385,290612,Action
2461485_103083,2461485,103083,Action
2461598_297459,2461598,297459,Action
2462106_160908,2462106,160908,Action
2462153_38785,2462153,38785,Action
2463620_171117,2463620,171117,Action
2463622_239051,2463622,239051,Action
2464699_75298,2464699,75298,Action
2465773_78050,2465773,78050,Action
2465893_155280,2465893,155280,Action
2466403_213822,2466403,213822,Action
2466643_297265,2466643,297265,Action
2468093_234788,2468093,234788,Action
2468209_5049,2468209,5049,Action
2468209_196351,2468209,196351,Action
2468266_55703,2468266,55703,Action
2468663_124171,2468663,124171,Action
2469602_290492,2469602,290492,Action
2470444_282151,2470444,282151,Action
2470520_223394,2470520,223394,Action
2472391_91117,2472391,91117,Action
2473638_110667,2473638,110667,Action
2474020_19189,2474020,19189,Action
2474065_131735,2474065,131735,Action
2474888_98451,2474888,98451,Action
2475166_200697,2475166,200697,Action
2476119_179335,2476119,179335,Action
2476233_87113,2476233,87113,Action
2477403_191991,2477403,191991,Action
2477986_146286,2477986,146286,Action
2478286_305962,2478286,305962,Action
2480572_161871,2480572,161871,Action
2480579_176771,2480579,176771,Action
2481073_97356,2481073,97356,Action
2482887_170040,2482887,170040,Action
2484656_39629,2484656,39629,Action
2485393_115990,2485393,115990,Action
2486246_106208,2486246,106208,Action
2486283_116803,2486283,116803,Action
2486283_137338,2486283,137338,Action
2486285_116803,2486285,116803,Action
2486285_137338,2486285,137338,Action
2486286_116803,2486286,116803,Action
2486286_137338,2486286,137338,Action
2486655_252075,2486655,252075,Action
2486817_123878,2486817,123878,Action
2488375_129452,2488375,129452,Action
2491068_112768,2491068,112768,Action
2491565_179970,2491565,179970,Action
2492725_211555,2492725,211555,Action
2494140_9131,2494140,9131,Action
2497499_34572,2497499,34572,Action
2499488_237483,2499488,237483,Action
2500886_302682,2500886,302682,Action
2503584_124171,2503584,124171,Action
2504449_27271,2504449,27271,Action
2504449_99697,2504449,99697,Action
2504449_286906,2504449,286906,Action
2507383_278538,2507383,278538,Action
2508020_55449,2508020,55449,Action
2508020_129138,2508020,129138,Action
2508265_260603,2508265,260603,Action
2509455_247289,2509455,247289,Action
2509841_85889,2509841,85889,Action
2509841_90796,2509841,90796,Action
2509841_175013,2509841,175013,Action
2510683_285051,2510683,285051,Action
2518451_39629,2518451,39629,Action
2518905_266780,2518905,266780,Action
2519338_149249,2519338,149249,Action
2520706_158773,2520706,158773,Action
2520706_297510,2520706,297510,Action
2520712_37587,2520712,37587,Action
2520896_1756,2520896,1756,Action
2522318_28822,2522318,28822,Action
2524549_191112,2524549,191112,Action
2524640_14380,2524640,14380,Action
2531457_62087,2531457,62087,Action
2531460_192819,2531460,192819,Action
2533451_75298,2533451,75298,Action
2533992_78050,2533992,78050,Action
2533997_232274,2533997,232274,Action
2540794_41939,2540794,41939,Action
2548449_157523,2548449,157523,Action
2548478_35022,2548478,35022,Action
2550559_127519,2550559,127519,Action
2556055_42098,2556055,42098,Action
2556792_302870,2556792,302870,Action
2558138_55703,2558138,55703,Action
2558138_228322,2558138,228322,Action
2561802_57090,2561802,57090,Action
2565487_124034,2565487,124034,Action
2569556_64664,2569556,64664,Action
2569583_117915,2569583,117915,Action
2570013_259027,2570013,259027,Action
2570785_121794,2570785,121794,Action
2571296_231151,2571296,231151,Action
2571358_59455,2571358,59455,Action
2571358_293085,2571358,293085,Action
2576718_220520,2576718,220520,Action
2577075_136660,2577075,136660,Action
2577314_254763,2577314,254763,Action
2578330_118759,2578330,118759,Action
2583695_38785,2583695,38785,Action
2583966_158572,2583966,158572,Action
2585507_149249,2585507,149249,Action
1674388_115990,1674388,115990,Adventure
1677631_148294,1677631,148294,Adventure
1684486_153377,1684486,153377,Adventure
1684486_261605,1684486,261605,Adventure
1687730_240297,1687730,240297,Adventure
1689183_160252,1689183,160252,Adventure
1689210_209133,1689210,209133,Adventure
1690318_101761,1690318,101761,Adventure
1705196_163979,1705196,163979,Adventure
1713183_50946,1713183,50946,Adventure
1713183_193333,1713183,193333,Adventure
1713499_116956,1713499,116956,Adventure
1715025_96107,1715025,96107,Adventure
1715025_127600,1715025,127600,Adventure
1715025_165371,1715025,165371,Adventure
1716020_157027,1716020,157027,Adventure
1716020_238574,1716020,238574,Adventure
1718342_106006,1718342,106006,Adventure
1724180_198038,1724180,198038,Adventure
1724180_293168,1724180,293168,Adventure
1725774_161871,1725774,161871,Adventure
1726934_27271,1726934,27271,Adventure
1726934_99697,1726934,99697,Adventure
1727885_184465,1727885,184465,Adventure
1732496_61210,1732496,61210,Adventure
1732496_131633,1732496,131633,Adventure
1748196_199896,1748196,199896,Adventure
1748219_184466,1748219,184466,Adventure
1748996_200260,1748996,200260,Adventure
1749731_304410,1749731,304410,Adventure
1749735_304410,1749735,304410,Adventure
1749737_304410,1749737,304410,Adventure
1753266_293168,1753266,293168,Adventure
1756051_100012,1756051,100012,Adventure
1756391_148294,1756391,148294,Adventure
1759983_64247,1759983,64247,Adventure
1759983_133347,1759983,133347,Adventure
1759983_135849,1759983,135849,Adventure
1759983_192209,1759983,192209,Adventure
1760386_263287,1760386,263287,Adventure
1763877_39750,1763877,39750,Adventure
1763883_39750,1763883,39750,Adventure
1773944_273467,1773944,273467,Adventure
1788314_184710,1788314,184710,Adventure
1792102_217454,1792102,217454,Adventure
1792102_242345,1792102,242345,Adventure
1792349_273467,1792349,273467,Adventure
1795157_20255,1795157,20255,Adventure
1795698_117761,1795698,117761,Adventure
1797365_157634,1797365,157634,Adventure
1801936_275252,1801936,275252,Adventure
1802287_157470,1802287,157470,Adventure
1812202_117224,1812202,117224,Adventure
1813663_27289,1813663,27289,Adventure
1821807_292450,1821807,292450,Adventure
1823865_260322,1823865,260322,Adventure
1825348_214082,1825348,214082,Adventure
1832852_279430,1832852,279430,Adventure
1837340_10450,1837340,10450,Adventure
1838481_80882,1838481,80882,Adventure
1847080_55703,1847080,55703,Adventure
1848859_263287,1848859,263287,Adventure
1853531_87752,1853531,87752,Adventure
1861004_28945,1861004,28945,Adventure
1867752_13312,1867752,13312,Adventure
1869304_215255,1869304,215255,Adventure
1876090_152211,1876090,152211,Adventure
1879599_156841,1879599,156841,Adventure
1879599_305551,1879599,305551,Adventure
1883527_85889,1883527,85889,Adventure
1884286_257078,1884286,257078,Adventure
1889850_118604,1889850,118604,Adventure
1892010_236460,1892010,236460,Adventure
1895425_149633,1895425,149633,Adventure
1897778_260322,1897778,260322,Adventure
1919947_121483,1919947,121483,Adventure
1922571_114305,1922571,114305,Adventure
1924700_28945,1924700,28945,Adventure
1930942_85889,1930942,85889,Adventure
1931213_121794,1931213,121794,Adventure
1931235_29481,1931235,29481,Adventure
1933552_97642,1933552,97642,Adventure
1940121_305753,1940121,305753,Adventure
1941011_116837,1941011,116837,Adventure
1942625_143399,1942625,143399,Adventure
1942758_250260,1942758,250260,Adventure
1943718_15282,1943718,15282,Adventure
1945816_298935,1945816,298935,Adventure
1946023_39750,1946023,39750,Adventure
1950688_297265,1950688,297265,Adventure
1950689_161376,1950689,161376,Adventure
1950690_215854,1950690,215854,Adventure
1958267_208963,1958267,208963,Adventure
1967290_216920,1967290,216920,Adventure
1971929_70110,1971929,70110,Adventure
1972108_156904,1972108,156904,Adventure
1980073_85881,1980073,85881,Adventure
1992600_218940,1992600,218940,Adventure
1994580_158093,1994580,158093,Adventure
1996222_178314,1996222,178314,Adventure
1996275_50946,1996275,50946,Adventure
1996275_193333,1996275,193333,Adventure
2005467_52953,2005467,52953,Adventure
2006320_77536,2006320,77536,Adventure
2006322_73753,2006322,73753,Adventure
2006660_143399,2006660,143399,Adventure
2006702_131735,2006702,131735,Adventure
2007305_260322,2007305,260322,Adventure
2017211_122575,2017211,122575,Adventure
2024833_157634,2024833,157634,Adventure
2031233_263287,2031233,263287,Adventure
2046051_34185,2046051,34185,Adventure
2047096_118604,2047096,118604,Adventure
2047331_248272,2047331,248272,Adventure
2048619_260322,2048619,260322,Adventure
2050380_217675,2050380,217675,Adventure
2053107_23861,2053107,23861,Adventure
2057859_131735,2057859,131735,Adventure
2058680_260322,2058680,260322,Adventure
2070627_274699,2070627,274699,Adventure
2071915_243331,2071915,243331,Adventure
2072508_54305,2072508,54305,Adventure
2072508_245549,2072508,245549,Adventure
2072510_106208,2072510,106208,Adventure
2077306_112944,2077306,112944,Adventure
2091255_41852,2091255,41852,Adventure
2091255_130253,2091255,130253,Adventure
2094683_8349,2094683,8349,Adventure
2096794_37760,2096794,37760,Adventure
2103144_115808,2103144,115808,Adventure
2103866_96107,2103866,96107,Adventure
2103866_127600,2103866,127600,Adventure
2103866_165371,2103866,165371,Adventure
2103975_70986,2103975,70986,Adventure
2106899_214082,2106899,214082,Adventure
2109093_154945,2109093,154945,Adventure
2112515_224927,2112515,224927,Adventure
2117637_247236,2117637,247236,Adventure
2128890_243574,2128890,243574,Adventure
2131017_112943,2131017,112943,Adventure
2131017_123726,2131017,123726,Adventure
2136125_33534,2136125,33534,Adventure
2138299_40901,2138299,40901,Adventure
2147404_225613,2147404,225613,Adventure
2147404_287748,2147404,287748,Adventure
2153110_66373,2153110,66373,Adventure
2165318_180080,2165318,180080,Adventure
2173343_245549,2173343,245549,Adventure
2177959_64003,2177959,64003,Adventure
2182361_186516,2182361,186516,Adventure
2183254_97642,2183254,97642,Adventure
2183254_132520,2183254,132520,Adventure
2188028_275755,2188028,275755,Adventure
2189721_15635,2189721,15635,Adventure
2189721_53910,2189721,53910,Adventure
2190371_117905,2190371,117905,Adventure
2191997_161897,2191997,161897,Adventure
2193422_247850,2193422,247850,Adventure
2201125_178312,2201125,178312,Adventure
2206541_15282,2206541,15282,Adventure
2216145_227131,2216145,227131,Adventure
2217530_12931,2217530,12931,Adventure
2228369_263287,2228369,263287,Adventure
2228704_247344,2228704,247344,Adventure
2250593_58711,2250593,58711,Adventure
2252075_231217,2252075,231217,Adventure
2253332_37121,2253332,37121,Adventure
2257129_45158,2257129,45158,Adventure
2257265_96107,2257265,96107,Adventure
2257265_127600,2257265,127600,Adventure
2257265_142263,2257265,142263,Adventure
2257265_165371,2257265,165371,Adventure
2261598_83109,2261598,83109,Adventure
2261598_114412,2261598,114412,Adventure
2261598_127600,2261598,127600,Adventure
2261598_142263,2261598,142263,Adventure
2261598_165371,2261598,165371,Adventure
2261598_231132,2261598,231132,Adventure
2261598_250638,2261598,250638,Adventure
2263331_244016,2263331,244016,Adventure
2265771_91540,2265771,91540,Adventure
2265771_99484,2265771,99484,Adventure
2266891_108594,2266891,108594,Adventure
2266891_303156,2266891,303156,Adventure
2268776_5798,2268776,5798,Adventure
2275543_117295,2275543,117295,Adventure
2285997_72782,2285997,72782,Adventure
2287637_135547,2287637,135547,Adventure
2296892_112593,2296892,112593,Adventure
2299999_190139,2299999,190139,Adventure
2300104_121483,2300104,121483,Adventure
2300351_192621,2300351,192621,Adventure
2305197_215030,2305197,215030,Adventure
2305466_299207,2305466,299207,Adventure
2305931_227332,2305931,227332,Adventure
2305974_33684,2305974,33684,Adventure
2321373_268114,2321373,268114,Adventure
2321444_58826,2321444,58826,Adventure
2323351_17680,2323351,17680,Adventure
2323351_70851,2323351,70851,Adventure
2333344_169006,2333344,169006,Adventure
2334876_149633,2334876,149633,Adventure
2335622_8349,2335622,8349,Adventure
2339491_99032,2339491,99032,Adventure
