rating,userid_movieid,movieid,userid
3,131,371.0,280.0
4,132,371.0,595.0
2,133,357.0,548.0
2,134,382.0,576.0
3,135,370.0,592.0
4,136,371.0,524.0
3,137,357.0,314.0
1,138,382.0,537.0
4,139,357.0,575.0
5,140,357.0,595.0
3,141,371.0,239.0
4,142,371.0,479.0
5,143,382.0,602.0
3,144,358.0,575.0
1,145,371.0,317.0
4,146,382.0,479.0
5,147,382.0,601.0
2,148,357.0,599.0
2,149,371.0,584.0
3,150,357.0,594.0
1,151,382.0,568.0
4,152,357.0,581.0
5,153,357.0,599.0
2,154,357.0,601.0
5,155,343.0,453.0
5,156,370.0,575.0
1,157,362.0,596.0
3,158,361.0,587.0
3,159,347.0,595.0
4,160,357.0,576.0
3,161,357.0,575.0
4,162,268.0,582.0
4,163,357.0,354.0
2,164,357.0,596.0
3,165,370.0,479.0
4,166,357.0,592.0
4,167,382.0,314.0
4,168,357.0,594.0
3,169,382.0,524.0
2,170,371.0,599.0
3,171,371.0,427.0
5,172,357.0,568.0
4,173,375.0,537.0
4,174,357.0,507.0
5,175,382.0,568.0
1,176,382.0,568.0
5,177,169.0,595.0
5,178,357.0,575.0
4,179,371.0,524.0
3,180,382.0,536.0
4,181,382.0,596.0
3,182,382.0,574.0
1,183,371.0,599.0
4,184,169.0,575.0
3,185,357.0,573.0
3,186,382.0,595.0
5,187,377.0,583.0
3,188,382.0,599.0
3,189,370.0,597.0
4,190,357.0,592.0
2,191,357.0,582.0
3,192,370.0,430.0
1,193,357.0,592.0
2,194,357.0,592.0
3,195,382.0,574.0
3,196,357.0,356.0
5,197,370.0,397.0
2,198,239.0,575.0
2,199,371.0,541.0
3,200,312.0,544.0
4,201,322.0,592.0
3,202,370.0,580.0
5,203,372.0,599.0
3,204,362.0,554.0
3,205,357.0,601.0
3,206,382.0,572.0
5,207,343.0,584.0
5,208,357.0,584.0
3,209,357.0,584.0
3,210,293.0,520.0
4,211,367.0,568.0
5,212,370.0,582.0
2,213,382.0,568.0
3,214,321.0,596.0
4,215,357.0,568.0
5,216,357.0,594.0
5,217,382.0,541.0
4,218,357.0,592.0
3,219,382.0,592.0
4,220,375.0,594.0
4,221,287.0,537.0
3,222,375.0,427.0
3,223,357.0,554.0
5,224,357.0,568.0
4,225,357.0,575.0
4,226,370.0,317.0
3,227,382.0,576.0
3,228,357.0,595.0
3,229,293.0,537.0
4,230,357.0,582.0
5,231,357.0,594.0
2,232,371.0,587.0
4,233,371.0,574.0
4,234,362.0,582.0
2,235,370.0,314.0
4,236,357.0,280.0
4,237,357.0,575.0
4,238,357.0,601.0
2,239,357.0,554.0
3,240,362.0,599.0
4,241,357.0,596.0
3,242,382.0,599.0
5,243,382.0,599.0
5,244,357.0,326.0
2,245,371.0,599.0
3,246,371.0,595.0
3,247,360.0,581.0
4,248,371.0,280.0
3,249,377.0,597.0
3,250,358.0,576.0
4,251,357.0,544.0
5,252,377.0,589.0
2,253,371.0,575.0
3,254,370.0,589.0
3,255,357.0,568.0
4,256,367.0,598.0
3,257,357.0,354.0
5,258,357.0,563.0
3,259,371.0,575.0
4,260,357.0,568.0
1,261,382.0,594.0
3,262,375.0,595.0
4,263,382.0,427.0
5,264,357.0,582.0
3,265,357.0,601.0
4,266,382.0,453.0
4,267,357.0,582.0
5,268,357.0,280.0
4,269,370.0,582.0
4,270,357.0,317.0
4,271,382.0,595.0
3,272,382.0,592.0
4,273,357.0,580.0
4,274,293.0,356.0
3,275,379.0,599.0
4,276,207.0,599.0
5,277,382.0,574.0
5,278,357.0,592.0
4,279,207.0,595.0
5,280,357.0,479.0
4,281,287.0,582.0
3,282,382.0,544.0
2,283,357.0,507.0
2,284,375.0,602.0
5,285,357.0,581.0
3,286,375.0,587.0
4,287,370.0,548.0
3,288,357.0,453.0
4,289,382.0,596.0
4,290,358.0,552.0
3,291,354.0,601.0
3,292,379.0,596.0
4,293,343.0,575.0
2,294,343.0,575.0
4,295,354.0,554.0
1,296,362.0,479.0
1,297,371.0,575.0
2,298,382.0,554.0
4,299,382.0,594.0
5,300,377.0,589.0
4,301,370.0,592.0
4,302,293.0,576.0
4,303,370.0,555.0
2,304,371.0,568.0
4,305,354.0,280.0
3,306,379.0,596.0
2,307,370.0,453.0
4,308,371.0,166.0
4,309,322.0,552.0
4,310,354.0,596.0
4,311,382.0,555.0
2,312,371.0,577.0
2,313,362.0,587.0
5,314,371.0,595.0
3,315,354.0,596.0
4,316,354.0,599.0
1,317,354.0,464.0
4,318,354.0,595.0
5,319,343.0,577.0
1,320,372.0,568.0
5,321,382.0,594.0
5,322,354.0,599.0
2,323,361.0,599.0
2,324,343.0,590.0
4,325,371.0,601.0
4,326,382.0,582.0
2,327,382.0,571.0
4,328,382.0,599.0
1,329,371.0,592.0
4,330,377.0,166.0
3,331,354.0,575.0
4,332,293.0,110.0
5,333,354.0,576.0
3,334,354.0,568.0
3,335,354.0,602.0
3,336,343.0,599.0
5,337,293.0,544.0
3,338,371.0,568.0
2,339,371.0,599.0
3,340,354.0,590.0
5,341,354.0,590.0
5,342,354.0,548.0
2,343,382.0,574.0
3,344,293.0,568.0
4,345,287.0,479.0
4,346,362.0,574.0
4,347,382.0,555.0
5,348,382.0,568.0
3,349,354.0,326.0
3,350,382.0,540.0
5,351,268.0,599.0
4,352,370.0,576.0
5,353,362.0,314.0
3,354,343.0,568.0
3,355,370.0,568.0
5,356,354.0,599.0
4,357,370.0,590.0
3,358,293.0,568.0
5,359,354.0,480.0
4,360,382.0,317.0
5,361,370.0,589.0
4,362,382.0,554.0
5,363,354.0,544.0
2,364,354.0,596.0
5,365,287.0,314.0
4,366,354.0,576.0
4,367,377.0,581.0
5,368,370.0,584.0
2,369,370.0,554.0
5,370,382.0,166.0
3,371,360.0,314.0
2,372,371.0,536.0
3,373,354.0,573.0
3,374,382.0,599.0
4,375,354.0,596.0
5,376,354.0,575.0
2,377,382.0,599.0
3,378,382.0,592.0
5,379,362.0,582.0
3,380,370.0,592.0
3,381,287.0,326.0
5,382,377.0,548.0
3,383,382.0,548.0
5,384,287.0,568.0
3,385,371.0,592.0
1,386,354.0,326.0
4,387,371.0,576.0
3,388,371.0,590.0
4,389,362.0,544.0
4,390,371.0,592.0
4,391,377.0,563.0
3,392,382.0,597.0
4,393,354.0,596.0
3,394,382.0,581.0
3,395,293.0,575.0
2,396,355.0,575.0
5,397,367.0,571.0
3,398,382.0,568.0
4,399,354.0,599.0
4,400,354.0,596.0
5,401,354.0,453.0
4,402,382.0,568.0
5,403,354.0,596.0
5,404,354.0,568.0
3,405,371.0,576.0
3,406,354.0,573.0
5,407,354.0,594.0
3,408,382.0,541.0
5,409,293.0,397.0
3,410,354.0,599.0
2,411,362.0,590.0
4,412,371.0,571.0
4,413,287.0,599.0
4,414,361.0,584.0
3,415,382.0,563.0
4,416,382.0,584.0
4,417,370.0,317.0
4,418,354.0,580.0
4,419,354.0,544.0
5,420,371.0,601.0
1,421,382.0,576.0
4,422,379.0,427.0
3,423,354.0,590.0
3,424,382.0,587.0
3,425,293.0,574.0
4,426,354.0,536.0
5,427,382.0,594.0
4,428,354.0,485.0
4,429,382.0,479.0
3,430,382.0,581.0
3,431,354.0,601.0
3,432,354.0,544.0
5,433,321.0,548.0
2,434,382.0,582.0
3,435,354.0,576.0
2,436,382.0,480.0
2,437,371.0,552.0
2,438,354.0,453.0
3,439,371.0,453.0
4,440,354.0,427.0
3,441,370.0,314.0
5,442,343.0,574.0
4,443,354.0,599.0
5,444,354.0,599.0
2,445,371.0,280.0
2,446,354.0,584.0
4,447,354.0,575.0
5,448,358.0,568.0
4,449,312.0,582.0
4,450,354.0,427.0
3,451,354.0,587.0
3,452,354.0,540.0
3,453,354.0,427.0
4,454,382.0,596.0
3,455,370.0,572.0
4,456,362.0,599.0
5,457,379.0,596.0
4,458,370.0,596.0
5,459,354.0,594.0
5,460,354.0,596.0
5,461,354.0,568.0
4,462,371.0,592.0
4,463,370.0,575.0
3,464,169.0,596.0
5,465,371.0,575.0
4,466,379.0,590.0
4,467,354.0,555.0
3,468,169.0,590.0
5,469,370.0,581.0
1,470,207.0,554.0
3,471,354.0,574.0
4,472,382.0,598.0
3,473,370.0,584.0
3,474,362.0,427.0
3,475,382.0,563.0
4,476,371.0,599.0
4,477,354.0,592.0
4,478,367.0,507.0
3,479,207.0,592.0
4,480,382.0,590.0
3,481,354.0,592.0
5,482,377.0,507.0
4,483,354.0,599.0
5,484,354.0,592.0
4,485,343.0,354.0
4,486,293.0,568.0
5,487,375.0,576.0
3,488,354.0,555.0
4,489,321.0,576.0
5,490,354.0,485.0
3,491,382.0,568.0
4,492,370.0,575.0
5,493,370.0,427.0
5,494,354.0,582.0
3,495,207.0,590.0
3,496,382.0,597.0
2,497,382.0,317.0
4,498,382.0,453.0
3,499,370.0,573.0
2,500,382.0,554.0
3,501,354.0,580.0
4,502,382.0,354.0
3,503,354.0,453.0
4,504,297.0,540.0
3,505,354.0,590.0
4,506,382.0,592.0
4,507,354.0,480.0
5,508,377.0,571.0
4,509,370.0,576.0
4,510,354.0,599.0
4,511,382.0,582.0
2,512,370.0,574.0
5,513,207.0,507.0
4,514,382.0,575.0
4,515,360.0,555.0
4,516,354.0,601.0
3,517,382.0,555.0
1,518,370.0,596.0
3,519,382.0,594.0
4,520,362.0,600.0
4,521,354.0,478.0
4,522,343.0,590.0
5,523,354.0,314.0
5,524,355.0,575.0
4,525,375.0,590.0
3,526,371.0,575.0
4,527,370.0,575.0
4,528,370.0,239.0
4,529,360.0,555.0
5,530,169.0,540.0
4,531,382.0,599.0
1,532,371.0,568.0
4,533,354.0,576.0
3,534,361.0,552.0
4,535,362.0,599.0
4,536,354.0,554.0
5,537,360.0,454.0
5,538,382.0,596.0
4,539,382.0,576.0
3,540,370.0,397.0
3,541,362.0,480.0
1,542,362.0,576.0
5,543,370.0,573.0
3,544,354.0,602.0
2,545,382.0,576.0
5,546,169.0,582.0
4,547,377.0,574.0
4,548,371.0,478.0
2,549,354.0,592.0
4,550,370.0,75.0
5,551,382.0,599.0
4,552,354.0,592.0
3,553,375.0,552.0
5,554,360.0,524.0
5,555,354.0,592.0
4,556,312.0,572.0
4,557,382.0,599.0
5,558,354.0,596.0
3,559,377.0,590.0
3,560,382.0,427.0
2,561,354.0,356.0
5,562,382.0,552.0
4,563,382.0,575.0
5,564,354.0,280.0
4,565,371.0,576.0
4,566,377.0,541.0
5,567,360.0,479.0
4,568,312.0,582.0
4,569,354.0,600.0
2,570,371.0,599.0
4,571,362.0,575.0
3,572,379.0,592.0
5,573,370.0,599.0
3,574,354.0,568.0
2,575,169.0,575.0
3,576,354.0,166.0
1,577,354.0,479.0
5,578,371.0,575.0
3,579,382.0,590.0
5,580,354.0,314.0
2,581,382.0,576.0
4,582,382.0,575.0
3,583,354.0,597.0
3,584,354.0,568.0
1,585,382.0,427.0
4,586,354.0,314.0
4,587,382.0,587.0
3,588,354.0,581.0
5,589,354.0,592.0
3,590,354.0,574.0
4,591,360.0,592.0
4,592,382.0,594.0
3,593,371.0,574.0
4,594,354.0,596.0
4,595,293.0,577.0
3,596,354.0,576.0
4,597,293.0,574.0
4,598,371.0,576.0
4,599,354.0,581.0
1,600,382.0,590.0
4,601,297.0,580.0
3,602,382.0,584.0
4,603,382.0,596.0
5,604,377.0,581.0
5,605,371.0,544.0
5,606,370.0,464.0
1,607,362.0,601.0
5,608,360.0,587.0
4,609,354.0,596.0
4,610,379.0,555.0
3,611,354.0,581.0
4,612,354.0,592.0
4,613,104.0,574.0
4,614,354.0,576.0
2,615,371.0,480.0
4,616,354.0,507.0
4,617,360.0,594.0
4,618,245.0,576.0
4,619,362.0,540.0
3,620,354.0,590.0
5,621,382.0,571.0
4,622,370.0,590.0
4,623,354.0,594.0
3,624,370.0,575.0
4,625,354.0,596.0
4,626,382.0,598.0
1,627,382.0,427.0
4,628,354.0,540.0
2,629,362.0,575.0
3,630,382.0,575.0
3,631,354.0,576.0
5,632,370.0,574.0
5,633,375.0,574.0
5,634,293.0,587.0
4,635,354.0,576.0
4,636,354.0,596.0
3,637,354.0,575.0
3,638,371.0,594.0
2,639,371.0,594.0
4,640,354.0,507.0
5,641,354.0,599.0
3,642,382.0,601.0
4,643,287.0,592.0
4,644,354.0,596.0
3,645,362.0,575.0
2,646,354.0,590.0
4,647,382.0,575.0
3,648,354.0,544.0
4,649,371.0,480.0
4,650,379.0,575.0
3,651,371.0,590.0
2,652,371.0,552.0
1,653,370.0,326.0
3,654,354.0,540.0
4,655,371.0,599.0
4,656,382.0,577.0
5,657,354.0,453.0
4,658,382.0,594.0
2,659,354.0,575.0
1,660,293.0,507.0
5,661,169.0,541.0
4,662,354.0,582.0
4,663,354.0,581.0
3,664,354.0,537.0
3,665,354.0,568.0
4,666,354.0,554.0
4,667,370.0,589.0
2,668,370.0,568.0
3,669,354.0,427.0
3,670,371.0,554.0
4,671,362.0,544.0
3,672,354.0,596.0
3,673,361.0,480.0
4,674,354.0,568.0
4,675,370.0,601.0
4,676,382.0,599.0
4,677,265.0,590.0
3,678,371.0,575.0
4,679,354.0,590.0
1,680,382.0,554.0
5,681,354.0,596.0
1,682,382.0,590.0
2,683,382.0,589.0
3,684,382.0,480.0
4,685,354.0,596.0
4,686,370.0,326.0
3,687,354.0,574.0
2,688,382.0,568.0
5,689,370.0,453.0
1,690,382.0,597.0
4,691,354.0,592.0
4,692,354.0,568.0
3,693,370.0,326.0
2,694,382.0,568.0
4,695,287.0,574.0
5,696,354.0,524.0
4,697,377.0,576.0
4,698,375.0,582.0
5,699,293.0,541.0
4,700,362.0,590.0
3,701,375.0,582.0
5,702,354.0,580.0
4,703,169.0,599.0
4,704,354.0,453.0
4,705,377.0,576.0
2,706,354.0,599.0
2,707,370.0,601.0
1,708,371.0,479.0
4,709,354.0,577.0
2,710,382.0,540.0
5,711,377.0,524.0
4,712,382.0,583.0
4,713,360.0,479.0
5,714,343.0,537.0
3,715,382.0,599.0
3,716,370.0,587.0
4,717,362.0,280.0
4,718,382.0,596.0
1,719,382.0,581.0
4,720,371.0,601.0
4,721,293.0,576.0
5,722,370.0,587.0
5,723,382.0,594.0
4,724,382.0,317.0
5,725,382.0,592.0
4,726,360.0,599.0
4,727,371.0,166.0
3,728,382.0,580.0
4,729,371.0,541.0
3,730,312.0,598.0
4,731,351.0,599.0
3,732,354.0,594.0
4,733,362.0,599.0
1,734,371.0,568.0
5,735,370.0,314.0
5,736,371.0,584.0
4,737,371.0,599.0
3,738,362.0,599.0
4,739,360.0,596.0
1,740,362.0,537.0
5,741,354.0,596.0
3,742,354.0,592.0
3,743,382.0,599.0
4,744,377.0,314.0
4,745,354.0,601.0
3,746,377.0,544.0
4,747,362.0,239.0
4,748,371.0,599.0
2,749,245.0,576.0
5,750,370.0,554.0
5,751,354.0,540.0
2,752,354.0,587.0
3,753,354.0,485.0
5,754,287.0,600.0
5,755,382.0,480.0
3,756,354.0,575.0
4,757,382.0,599.0
5,758,370.0,599.0
5,759,343.0,575.0
3,760,362.0,544.0
4,761,362.0,397.0
4,762,370.0,356.0
5,763,343.0,582.0
4,764,354.0,590.0
4,765,354.0,480.0
2,766,362.0,582.0
5,767,293.0,575.0
1,768,382.0,436.0
4,769,354.0,575.0
3,770,169.0,590.0
3,771,354.0,582.0
3,772,375.0,541.0
4,773,370.0,548.0
3,774,354.0,596.0
5,775,370.0,568.0
3,776,370.0,590.0
2,777,370.0,568.0
5,778,375.0,597.0
4,779,354.0,596.0
1,780,371.0,548.0
1,781,354.0,601.0
4,782,371.0,524.0
3,783,371.0,574.0
3,784,375.0,587.0
1,785,371.0,599.0
4,786,343.0,575.0
3,787,354.0,576.0
5,788,362.0,587.0
5,789,370.0,563.0
3,790,354.0,599.0
5,791,362.0,574.0
4,792,207.0,594.0
5,793,354.0,587.0
4,794,354.0,541.0
5,795,169.0,552.0
3,796,354.0,571.0
4,797,371.0,599.0
5,798,382.0,576.0
4,799,370.0,166.0
3,800,375.0,166.0
5,801,382.0,326.0
4,802,382.0,573.0
2,803,382.0,576.0
3,804,382.0,314.0
3,805,354.0,587.0
4,806,356.0,314.0
3,807,280.0,575.0
4,808,372.0,572.0
4,809,370.0,575.0
3,810,360.0,587.0
5,811,228.0,574.0
4,812,321.0,599.0
4,813,354.0,566.0
2,814,371.0,544.0
4,815,354.0,575.0
4,816,354.0,575.0
3,817,207.0,596.0
4,818,354.0,575.0
3,819,370.0,563.0
3,820,354.0,592.0
4,821,354.0,540.0
4,822,382.0,590.0
3,823,354.0,575.0
4,824,354.0,552.0
4,825,362.0,326.0
5,826,321.0,590.0
5,827,370.0,565.0
1,828,382.0,590.0
3,829,371.0,602.0
5,830,370.0,571.0
3,831,371.0,453.0
3,832,377.0,479.0
5,833,324.0,453.0
4,834,354.0,480.0
4,835,375.0,427.0
4,836,371.0,566.0
2,837,207.0,568.0
2,838,354.0,599.0
2,839,371.0,575.0
5,840,245.0,576.0
2,841,360.0,554.0
3,842,354.0,552.0
3,843,382.0,548.0
3,844,382.0,590.0
3,845,354.0,280.0
5,846,370.0,598.0
3,847,245.0,239.0
4,848,354.0,594.0
3,849,382.0,554.0
3,850,354.0,592.0
4,851,382.0,596.0
4,852,228.0,541.0
3,853,382.0,590.0
5,854,228.0,574.0
4,855,354.0,590.0
4,856,354.0,590.0
3,857,354.0,576.0
4,858,375.0,574.0
3,859,382.0,479.0
5,860,169.0,590.0
3,861,354.0,280.0
4,862,354.0,590.0
2,863,382.0,583.0
1,864,358.0,326.0
2,865,354.0,596.0
2,866,362.0,575.0
4,867,375.0,596.0
2,868,354.0,430.0
2,869,354.0,326.0
5,870,382.0,566.0
4,871,375.0,574.0
5,872,354.0,464.0
4,873,370.0,590.0
4,874,382.0,568.0
1,875,382.0,599.0
1,876,354.0,590.0
4,877,354.0,554.0
4,878,367.0,541.0
5,879,382.0,599.0
4,880,375.0,576.0
4,881,370.0,598.0
1,882,354.0,599.0
5,883,343.0,590.0
4,884,343.0,599.0
5,885,312.0,552.0
3,886,370.0,479.0
1,887,354.0,544.0
5,888,371.0,554.0
3,889,354.0,541.0
4,890,370.0,427.0
3,891,354.0,594.0
4,892,375.0,397.0
4,893,354.0,596.0
4,894,382.0,599.0
3,895,382.0,544.0
3,896,371.0,568.0
4,897,347.0,239.0
3,898,362.0,589.0
4,899,382.0,480.0
5,900,377.0,166.0
5,901,354.0,548.0
4,902,228.0,480.0
3,903,371.0,581.0
4,904,382.0,568.0
5,905,362.0,592.0
5,906,382.0,599.0
5,907,354.0,596.0
5,908,370.0,566.0
2,909,354.0,575.0
2,910,343.0,575.0
3,911,354.0,599.0
5,912,370.0,592.0
5,913,354.0,576.0
5,914,362.0,599.0
4,915,354.0,571.0
3,916,312.0,166.0
2,917,382.0,574.0
3,918,245.0,590.0
5,919,382.0,596.0
3,920,354.0,599.0
3,921,354.0,592.0
4,922,354.0,599.0
4,923,354.0,590.0
2,924,382.0,548.0
5,925,370.0,575.0
2,926,354.0,480.0
4,927,354.0,602.0
3,928,354.0,574.0
1,929,382.0,575.0
3,930,371.0,594.0
4,931,370.0,575.0
2,932,379.0,599.0
4,933,382.0,430.0
3,934,354.0,576.0
5,935,382.0,566.0
1,936,379.0,582.0
5,937,370.0,537.0
5,938,371.0,576.0
5,939,354.0,601.0
2,940,370.0,599.0
4,941,375.0,541.0
3,942,354.0,575.0
4,943,382.0,541.0
4,944,343.0,544.0
5,945,321.0,575.0
3,946,343.0,599.0
3,947,370.0,574.0
4,948,354.0,590.0
5,949,354.0,535.0
2,950,207.0,594.0
3,951,354.0,535.0
3,952,354.0,574.0
3,953,382.0,590.0
2,954,354.0,598.0
4,955,354.0,566.0
3,956,382.0,568.0
5,957,370.0,602.0
2,958,382.0,75.0
5,959,382.0,326.0
4,960,354.0,590.0
4,961,354.0,592.0
1,962,362.0,548.0
4,963,371.0,314.0
4,964,228.0,548.0
5,965,382.0,317.0
2,966,354.0,575.0
4,967,377.0,572.0
2,968,358.0,535.0
4,969,371.0,596.0
4,970,354.0,574.0
5,971,382.0,536.0
4,972,312.0,575.0
4,973,228.0,552.0
3,974,382.0,480.0
4,975,377.0,314.0
4,976,382.0,436.0
2,977,371.0,590.0
2,978,381.0,540.0
5,979,354.0,566.0
4,980,354.0,560.0
2,981,354.0,574.0
4,982,362.0,568.0
2,983,381.0,555.0
3,984,381.0,560.0
5,985,370.0,592.0
4,986,354.0,599.0
2,987,379.0,507.0
3,988,354.0,594.0
4,989,354.0,493.0
3,990,371.0,573.0
3,991,375.0,592.0
3,992,336.0,317.0
3,993,381.0,453.0
3,994,354.0,507.0
4,995,354.0,544.0
4,996,381.0,574.0
5,997,354.0,566.0
4,998,245.0,537.0
5,999,228.0,166.0
4,1000,362.0,356.0
5,1001,381.0,572.0
5,1002,381.0,599.0
4,1003,362.0,540.0
4,1004,381.0,594.0
5,1005,354.0,599.0
4,1006,228.0,575.0
4,1007,381.0,555.0
4,1008,336.0,581.0
4,1009,207.0,537.0
3,1010,370.0,581.0
2,1011,354.0,560.0
3,1012,169.0,560.0
4,1013,228.0,596.0
4,1014,354.0,601.0
2,1015,354.0,563.0
4,1016,321.0,592.0
1,1017,207.0,554.0
4,1018,354.0,592.0
5,1019,343.0,493.0
3,1020,354.0,537.0
4,1021,371.0,575.0
5,1022,354.0,560.0
4,1023,354.0,560.0
3,1024,371.0,599.0
4,1025,371.0,580.0
5,1026,370.0,565.0
2,1027,354.0,480.0
3,1028,371.0,548.0
4,1029,354.0,479.0
2,1030,381.0,575.0
4,1031,370.0,596.0
4,1032,377.0,572.0
5,1033,354.0,560.0
3,1034,354.0,317.0
2,1035,381.0,575.0
5,1036,354.0,575.0
5,1037,381.0,581.0
4,1038,370.0,581.0
4,1039,354.0,568.0
2,1040,354.0,566.0
2,1041,354.0,560.0
3,1042,354.0,507.0
4,1043,370.0,574.0
3,1044,207.0,427.0
4,1045,354.0,599.0
2,1046,207.0,584.0
2,1047,371.0,599.0
3,1048,354.0,568.0
4,1049,207.0,602.0
4,1050,354.0,566.0
3,1051,375.0,599.0
5,1052,375.0,568.0
2,1053,371.0,575.0
1,1054,228.0,535.0
5,1055,381.0,574.0
2,1056,371.0,560.0
4,1057,293.0,436.0
2,1058,370.0,280.0
4,1059,354.0,480.0
4,1060,354.0,599.0
4,1061,285.0,568.0
4,1062,381.0,575.0
5,1063,370.0,592.0
2,1064,371.0,576.0
5,1065,354.0,565.0
5,1066,381.0,536.0
4,1067,370.0,544.0
3,1068,371.0,560.0
4,1069,362.0,576.0
2,1070,360.0,581.0
1,1071,371.0,592.0
2,1072,245.0,575.0
4,1073,381.0,535.0
4,1074,360.0,535.0
5,1075,381.0,580.0
4,1076,375.0,596.0
1,1077,381.0,563.0
5,1078,354.0,480.0
3,1079,285.0,602.0
4,1080,354.0,575.0
5,1081,354.0,314.0
1,1082,370.0,572.0
3,1083,381.0,596.0
5,1084,370.0,397.0
3,1085,354.0,596.0
3,1086,207.0,576.0
2,1087,371.0,566.0
3,1088,322.0,478.0
4,1089,360.0,575.0
5,1090,371.0,560.0
3,1091,381.0,280.0
2,1092,285.0,575.0
3,1093,370.0,574.0
5,1094,360.0,544.0
4,1095,285.0,560.0
4,1096,285.0,535.0
3,1097,381.0,592.0
1,1098,343.0,584.0
5,1099,362.0,575.0
3,1100,354.0,599.0
3,1101,371.0,574.0
4,1102,375.0,599.0
3,1103,354.0,594.0
3,1104,381.0,568.0
4,1105,354.0,599.0
3,1106,372.0,575.0
4,1107,381.0,537.0
3,1108,362.0,430.0
4,1109,354.0,575.0
3,1110,354.0,576.0
4,1111,354.0,480.0
3,1112,354.0,575.0
5,1113,375.0,581.0
2,1114,381.0,602.0
4,1115,169.0,575.0
4,1116,354.0,599.0
2,1117,381.0,594.0
5,1118,265.0,599.0
5,1119,371.0,596.0
2,1120,354.0,560.0
4,1121,381.0,576.0
4,1122,371.0,354.0
5,1123,375.0,554.0
4,1124,371.0,548.0
4,1125,356.0,535.0
4,1126,354.0,317.0
5,1127,377.0,601.0
2,1128,371.0,574.0
4,1129,356.0,592.0
4,1130,381.0,575.0
3,1131,354.0,391.0
4,1132,354.0,548.0
4,1133,360.0,409.0
4,1134,367.0,594.0
5,1135,329.0,599.0
4,1136,360.0,314.0
3,1137,370.0,548.0
4,1138,354.0,592.0
3,1139,371.0,574.0
3,1140,381.0,563.0
4,1141,228.0,575.0
4,1142,381.0,314.0
2,1143,371.0,560.0
4,1144,354.0,541.0
4,1145,370.0,576.0
3,1146,354.0,592.0
5,1147,370.0,555.0
4,1148,370.0,577.0
3,1149,381.0,166.0
3,1150,354.0,576.0
