cast_num,movieid_actorid,actorid,movieid
3,455,9452.0,370.0
1,456,9585.0,379.0
2,457,9583.0,378.0
3,458,9581.0,378.0
3,459,9591.0,370.0
3,460,9581.0,354.0
0,461,9483.0,367.0
2,462,9446.0,370.0
2,463,9442.0,356.0
3,464,9581.0,379.0
0,465,9433.0,370.0
0,466,9428.0,275.0
2,467,9424.0,371.0
2,468,9424.0,371.0
3,469,9581.0,378.0
3,470,9483.0,371.0
3,471,9424.0,354.0
3,472,9483.0,354.0
3,473,9480.0,371.0
3,474,9480.0,354.0
1,475,9474.0,297.0
3,476,9579.0,375.0
2,477,9579.0,375.0
2,478,9469.0,378.0
2,479,9424.0,343.0
2,480,9578.0,378.0
2,481,9424.0,347.0
1,482,9467.0,371.0
2,483,9576.0,351.0
3,484,9423.0,379.0
2,485,9576.0,371.0
3,486,9575.0,354.0
3,487,9573.0,371.0
2,488,9573.0,354.0
2,489,9573.0,354.0
3,490,9417.0,354.0
3,491,9570.0,378.0
3,492,9465.0,351.0
2,493,9414.0,378.0
3,494,9566.0,354.0
2,495,9414.0,378.0
1,496,9566.0,378.0
2,497,9407.0,293.0
2,498,9563.0,371.0
3,499,9591.0,354.0
3,500,9405.0,379.0
3,501,9562.0,378.0
3,502,9557.0,376.0
3,503,9552.0,371.0
1,504,9591.0,368.0
3,505,9591.0,378.0
3,506,9404.0,343.0
3,507,9591.0,354.0
3,508,9403.0,354.0
3,509,9454.0,348.0
0,510,9677.0,371.0
3,511,9543.0,378.0
2,512,9590.0,293.0
2,513,9582.0,354.0
3,514,9445.0,365.0
2,515,9390.0,354.0
2,516,9542.0,365.0
1,517,9389.0,378.0
3,518,9436.0,354.0
2,519,9435.0,354.0
2,520,9387.0,377.0
3,521,9387.0,297.0
1,522,9429.0,365.0
3,523,9542.0,354.0
3,524,9384.0,378.0
3,525,9542.0,343.0
3,526,9429.0,365.0
2,527,9382.0,354.0
2,528,9582.0,367.0
2,529,9379.0,287.0
3,530,9377.0,365.0
3,531,9374.0,354.0
3,532,9541.0,365.0
3,533,9429.0,376.0
2,534,9429.0,378.0
3,535,9429.0,362.0
3,536,9540.0,379.0
2,537,9533.0,379.0
3,538,9373.0,360.0
2,539,9372.0,378.0
1,540,9372.0,378.0
2,541,9574.0,370.0
2,542,9372.0,367.0
3,543,9372.0,354.0
3,544,9571.0,370.0
3,545,9372.0,321.0
1,546,9372.0,347.0
2,547,9372.0,362.0
3,548,9560.0,370.0
1,549,9533.0,378.0
2,550,9429.0,297.0
3,551,9533.0,354.0
3,552,9559.0,348.0
2,553,9533.0,365.0
3,554,9533.0,354.0
1,555,9372.0,362.0
2,556,9372.0,326.0
3,557,9533.0,323.0
0,558,9533.0,365.0
3,559,9429.0,354.0
2,560,9429.0,365.0
1,561,9533.0,378.0
3,562,9559.0,343.0
1,563,9533.0,365.0
1,564,9533.0,365.0
1,565,9429.0,378.0
3,566,9372.0,362.0
2,567,9429.0,354.0
3,568,9372.0,354.0
3,569,9429.0,374.0
1,570,9533.0,365.0
2,571,9533.0,354.0
3,572,9533.0,354.0
2,573,9429.0,365.0
3,574,9372.0,354.0
3,575,9411.0,354.0
2,576,9372.0,323.0
3,577,9372.0,354.0
2,578,9533.0,354.0
1,579,9411.0,365.0
2,580,9411.0,354.0
1,581,9531.0,374.0
2,582,9559.0,297.0
3,583,9372.0,374.0
2,584,9559.0,367.0
3,585,9369.0,354.0
2,586,9610.0,368.0
3,587,9531.0,323.0
2,588,9408.0,365.0
3,589,9531.0,354.0
3,590,9400.0,365.0
3,591,9366.0,374.0
2,592,9531.0,354.0
2,593,9558.0,354.0
3,594,9360.0,354.0
3,595,9525.0,374.0
3,596,9524.0,376.0
3,597,9518.0,374.0
3,598,9354.0,370.0
2,599,9400.0,287.0
3,600,9558.0,265.0
3,601,9336.0,367.0
2,602,9558.0,374.0
1,603,9400.0,365.0
2,604,9515.0,343.0
2,605,9515.0,297.0
3,606,9558.0,374.0
3,607,9537.0,365.0
3,608,9336.0,321.0
3,609,9597.0,375.0
2,610,9515.0,354.0
3,611,9553.0,374.0
3,612,9515.0,365.0
0,613,9504.0,347.0
2,614,9501.0,374.0
1,615,9400.0,287.0
3,616,9323.0,322.0
0,617,9501.0,376.0
3,618,9182.0,354.0
2,619,9322.0,293.0
2,620,9501.0,374.0
2,621,9317.0,354.0
3,622,9501.0,349.0
3,623,9539.0,349.0
2,624,9313.0,374.0
3,625,9501.0,374.0
2,626,9400.0,349.0
2,627,9498.0,349.0
3,628,9308.0,370.0
2,629,9309.0,376.0
3,630,9498.0,349.0
1,631,9492.0,365.0
3,632,9492.0,349.0
3,633,9490.0,43.0
2,634,9400.0,283.0
1,635,9307.0,356.0
2,636,9305.0,370.0
3,637,9303.0,321.0
2,638,9490.0,349.0
3,639,9482.0,348.0
2,640,9478.0,365.0
2,641,9476.0,374.0
3,642,9301.0,349.0
2,643,9400.0,349.0
2,644,9475.0,374.0
2,645,9400.0,374.0
2,646,9472.0,365.0
3,647,9298.0,365.0
3,648,9400.0,365.0
1,649,9294.0,356.0
1,650,9470.0,365.0
0,651,9293.0,365.0
3,652,9535.0,349.0
3,653,9291.0,347.0
3,654,9470.0,323.0
3,655,9532.0,349.0
3,656,9288.0,343.0
3,657,9470.0,355.0
3,658,9288.0,349.0
3,659,9400.0,379.0
3,660,9470.0,374.0
3,661,9400.0,365.0
2,662,9287.0,370.0
3,663,9400.0,349.0
3,664,9470.0,349.0
3,665,9470.0,374.0
3,666,9468.0,365.0
1,667,9287.0,349.0
2,668,9285.0,370.0
1,669,9468.0,362.0
2,670,9520.0,351.0
3,671,9519.0,349.0
3,672,9273.0,374.0
2,673,9463.0,374.0
2,674,9400.0,374.0
3,675,9457.0,349.0
2,676,9450.0,374.0
1,677,9272.0,349.0
2,678,9270.0,349.0
3,679,9266.0,349.0
3,680,9448.0,375.0
3,681,9262.0,349.0
3,682,9261.0,356.0
3,683,9441.0,347.0
3,684,9448.0,374.0
2,685,9448.0,349.0
1,686,9260.0,283.0
3,687,9516.0,322.0
3,688,9448.0,365.0
1,689,9580.0,374.0
1,690,9448.0,374.0
2,691,9400.0,367.0
3,692,9511.0,348.0
2,693,9447.0,374.0
3,694,9447.0,349.0
3,695,9447.0,349.0
1,696,9447.0,365.0
3,697,9511.0,370.0
3,698,9255.0,343.0
1,699,9252.0,370.0
3,700,9447.0,365.0
2,701,9400.0,365.0
3,702,9447.0,349.0
3,703,9447.0,349.0
2,704,9400.0,365.0
3,705,9447.0,374.0
3,706,9447.0,363.0
1,707,9511.0,373.0
3,708,9511.0,358.0
3,709,9400.0,373.0
3,710,9511.0,349.0
3,711,9507.0,370.0
2,712,9447.0,373.0
3,713,9447.0,379.0
3,714,9447.0,349.0
2,715,9447.0,349.0
3,716,9447.0,362.0
1,717,9447.0,349.0
3,718,9400.0,363.0
3,719,9447.0,349.0
1,720,9400.0,373.0
3,721,9447.0,349.0
3,722,9251.0,297.0
2,723,9400.0,373.0
2,724,9249.0,379.0
1,725,9249.0,363.0
3,726,9447.0,349.0
2,727,9447.0,373.0
3,728,9247.0,349.0
2,729,9243.0,367.0
2,730,9391.0,363.0
3,731,9507.0,348.0
2,732,9243.0,362.0
2,733,9447.0,379.0
2,734,9447.0,343.0
2,735,9243.0,363.0
2,736,9499.0,343.0
2,737,9383.0,362.0
3,738,9447.0,363.0
3,739,9439.0,373.0
3,740,9381.0,373.0
3,741,9444.0,363.0
1,742,9491.0,367.0
3,743,9443.0,363.0
3,744,9381.0,349.0
1,745,9381.0,363.0
3,746,9440.0,363.0
2,747,9437.0,373.0
3,748,9243.0,360.0
3,749,9243.0,349.0
3,750,9434.0,363.0
3,751,9381.0,370.0
0,752,9243.0,265.0
2,753,9432.0,349.0
2,754,9243.0,379.0
2,755,9381.0,363.0
1,756,9243.0,287.0
3,757,9432.0,373.0
3,758,9432.0,373.0
0,759,9361.0,373.0
2,760,9456.0,373.0
0,761,9240.0,377.0
3,762,9438.0,349.0
3,763,9236.0,343.0
0,764,9431.0,367.0
0,765,9422.0,363.0
2,766,9426.0,376.0
3,767,9234.0,349.0
1,768,9421.0,349.0
3,769,9361.0,373.0
3,770,9359.0,349.0
3,771,9231.0,349.0
2,772,9230.0,322.0
3,773,9439.0,363.0
0,774,9228.0,322.0
3,775,9419.0,363.0
3,776,9359.0,349.0
3,777,9357.0,363.0
3,778,9418.0,363.0
1,779,9415.0,349.0
0,780,9225.0,349.0
3,781,9353.0,373.0
2,782,9222.0,104.0
3,783,9221.0,370.0
1,784,9412.0,373.0
2,785,9412.0,297.0
1,786,9412.0,363.0
3,787,9412.0,349.0
3,788,9218.0,362.0
2,789,9352.0,363.0
2,790,9215.0,349.0
3,791,9215.0,349.0
1,792,9215.0,377.0
2,793,9215.0,373.0
2,794,9554.0,373.0
1,795,9213.0,377.0
3,796,9412.0,373.0
2,797,9412.0,323.0
2,798,9410.0,373.0
3,799,9352.0,349.0
3,800,9409.0,363.0
3,801,9402.0,373.0
2,802,9399.0,362.0
0,803,9350.0,376.0
3,804,9213.0,349.0
3,805,9213.0,349.0
3,806,9350.0,349.0
2,807,9395.0,363.0
1,808,9211.0,370.0
3,809,9416.0,363.0
3,810,9394.0,349.0
2,811,9393.0,373.0
2,812,9392.0,379.0
2,813,9349.0,349.0
2,814,9385.0,373.0
3,815,9348.0,349.0
3,816,9211.0,349.0
0,817,9376.0,373.0
2,818,9371.0,363.0
1,819,9211.0,323.0
3,820,9370.0,347.0
1,821,9210.0,355.0
2,822,9367.0,373.0
3,823,9209.0,343.0
3,824,9208.0,43.0
3,825,9513.0,363.0
1,826,9397.0,379.0
0,827,9202.0,343.0
0,828,9380.0,349.0
2,829,9367.0,283.0
3,830,9367.0,349.0
1,831,9380.0,370.0
3,832,9367.0,363.0
3,833,9202.0,349.0
2,834,9362.0,375.0
2,835,9343.0,376.0
3,836,9341.0,363.0
2,837,9339.0,349.0
3,838,9338.0,349.0
3,839,9015.0,349.0
3,840,9451.0,363.0
3,841,9358.0,367.0
1,842,9199.0,373.0
3,843,9198.0,104.0
3,844,9195.0,360.0
3,845,9355.0,362.0
3,846,9337.0,349.0
2,847,9346.0,377.0
2,848,9190.0,297.0
2,849,9345.0,379.0
3,850,9378.0,343.0
2,851,9337.0,375.0
3,852,9190.0,373.0
3,853,9368.0,349.0
1,854,9368.0,293.0
3,855,9186.0,349.0
3,856,9413.0,363.0
3,857,9345.0,373.0
2,858,9364.0,362.0
3,859,9398.0,363.0
3,860,9340.0,363.0
2,861,9331.0,349.0
3,862,9185.0,373.0
3,863,9173.0,373.0
3,864,9356.0,349.0
1,865,9356.0,373.0
3,866,9326.0,375.0
2,867,9344.0,287.0
3,868,9321.0,349.0
1,869,9173.0,363.0
3,870,9173.0,363.0
2,871,9173.0,322.0
3,872,9334.0,343.0
2,873,9319.0,373.0
3,874,9335.0,358.0
2,875,9386.0,373.0
3,876,9318.0,373.0
1,877,9332.0,363.0
2,878,9173.0,375.0
3,879,9173.0,349.0
3,880,9320.0,363.0
2,881,9318.0,297.0
1,882,9318.0,363.0
2,883,9330.0,321.0
3,884,9311.0,373.0
1,885,9300.0,373.0
2,886,9297.0,373.0
1,887,9172.0,373.0
2,888,9306.0,179.0
3,889,9166.0,343.0
3,890,9304.0,373.0
3,891,9166.0,348.0
3,892,9329.0,373.0
1,893,9295.0,349.0
2,894,9165.0,349.0
2,895,9164.0,375.0
3,896,9280.0,370.0
2,897,9297.0,362.0
1,898,9297.0,373.0
3,899,9156.0,349.0
2,900,9297.0,363.0
2,901,9329.0,287.0
1,902,9297.0,362.0
3,903,9297.0,373.0
2,904,9101.0,376.0
2,905,9280.0,369.0
1,906,9297.0,349.0
3,907,9156.0,369.0
3,908,9297.0,369.0
3,909,9156.0,362.0
3,910,9297.0,369.0
3,911,9297.0,369.0
3,912,9297.0,349.0
1,913,9151.0,369.0
1,914,9297.0,358.0
1,915,9280.0,349.0
1,916,9328.0,343.0
2,917,9150.0,349.0
2,918,8805.0,349.0
3,919,9401.0,363.0
3,920,9150.0,370.0
0,921,9150.0,321.0
3,922,9328.0,370.0
1,923,9315.0,349.0
3,924,9297.0,349.0
3,925,9297.0,375.0
3,926,9292.0,351.0
3,927,9290.0,363.0
2,928,9284.0,349.0
3,929,9150.0,349.0
3,930,9280.0,349.0
2,931,9284.0,369.0
2,932,9314.0,362.0
0,933,9283.0,362.0
3,934,9283.0,349.0
3,935,9145.0,360.0
2,936,9278.0,369.0
1,937,9312.0,375.0
3,938,9145.0,349.0
1,939,9310.0,377.0
3,940,9299.0,255.0
1,941,9275.0,363.0
3,942,9268.0,369.0
3,943,9139.0,351.0
3,944,9138.0,349.0
2,945,9268.0,283.0
3,946,9265.0,369.0
1,947,9289.0,370.0
1,948,9289.0,377.0
1,949,9289.0,349.0
3,950,9259.0,343.0
2,951,9137.0,367.0
2,952,9135.0,369.0
3,953,9133.0,349.0
2,954,9289.0,348.0
2,955,9130.0,321.0
3,956,9254.0,370.0
2,957,9130.0,287.0
2,958,9205.0,369.0
2,959,9253.0,362.0
2,960,9130.0,255.0
2,961,9130.0,360.0
3,962,9250.0,363.0
3,963,9130.0,370.0
3,964,9130.0,369.0
3,965,9280.0,363.0
2,966,9250.0,376.0
3,967,9250.0,356.0
2,968,9250.0,349.0
3,969,9280.0,363.0
2,970,9282.0,351.0
3,971,9130.0,349.0
3,972,9250.0,369.0
2,973,9245.0,349.0
3,974,9280.0,363.0
3,975,9281.0,349.0
2,976,9245.0,367.0
3,977,9245.0,363.0
2,978,9130.0,349.0
1,979,9280.0,348.0
3,980,9130.0,370.0
2,981,9245.0,349.0
3,982,9244.0,369.0
1,983,9274.0,369.0
3,984,9271.0,321.0
3,985,9244.0,349.0
0,986,9242.0,363.0
3,987,9239.0,369.0
3,988,9280.0,363.0
3,989,9130.0,349.0
1,990,9129.0,214.0
3,991,9127.0,343.0
2,992,9238.0,360.0
2,993,9237.0,369.0
2,994,9235.0,363.0
2,995,9233.0,369.0
3,996,9121.0,142.0
3,997,9118.0,349.0
3,998,9224.0,349.0
2,999,9271.0,348.0
3,1000,9220.0,363.0
2,1001,9280.0,363.0
3,1002,9267.0,322.0
3,1003,9194.0,363.0
2,1004,9114.0,345.0
3,1005,9113.0,265.0
3,1006,9216.0,376.0
2,1007,9112.0,352.0
2,1008,9204.0,376.0
3,1009,9112.0,322.0
2,1010,9280.0,345.0
3,1011,9280.0,363.0
2,1012,9112.0,329.0
3,1013,9108.0,358.0
2,1014,9106.0,345.0
3,1015,9201.0,363.0
3,1016,9105.0,345.0
3,1017,9200.0,345.0
1,1018,9105.0,323.0
2,1019,9196.0,375.0
2,1020,9264.0,321.0
3,1021,9105.0,255.0
2,1022,9105.0,363.0
1,1023,9258.0,348.0
2,1024,9258.0,375.0
2,1025,9193.0,369.0
2,1026,9105.0,283.0
2,1027,9280.0,369.0
2,1028,9104.0,363.0
3,1029,9191.0,363.0
3,1030,9256.0,370.0
2,1031,9131.0,369.0
1,1032,9280.0,343.0
2,1033,9104.0,367.0
3,1034,9184.0,348.0
3,1035,9102.0,265.0
2,1036,9098.0,363.0
3,1037,9093.0,345.0
2,1038,9092.0,214.0
3,1039,9229.0,369.0
2,1040,9280.0,369.0
3,1041,9090.0,345.0
1,1042,9184.0,352.0
2,1043,9184.0,287.0
2,1044,9227.0,329.0
3,1045,9226.0,369.0
3,1046,9090.0,345.0
2,1047,9179.0,369.0
2,1048,9176.0,375.0
3,1049,9279.0,363.0
2,1050,9206.0,322.0
3,1051,9188.0,255.0
3,1052,9089.0,369.0
2,1053,9088.0,345.0
1,1054,9087.0,375.0
3,1055,9087.0,347.0
2,1056,9087.0,363.0
0,1057,9188.0,321.0
3,1058,9277.0,369.0
2,1059,9174.0,369.0
2,1060,9276.0,352.0
2,1061,9087.0,370.0
2,1062,9276.0,348.0
2,1063,9174.0,375.0
2,1064,9087.0,323.0
3,1065,9170.0,352.0
0,1066,9163.0,345.0
3,1067,9160.0,363.0
